time,reg1,reg2,reg3,reg4,reg5,reg6,reg7
2024-11-13 15:27:36.384745,23224542.09838439,9472446.02428498,30285089.95832955,13867025.706576452,30446555.231029257,10339376.955235707,36380017.82521619,247569685.63466415
2024-11-13 15:29:13.376915,23457196.61996755,9364429.354949268,30076789.926732358,13953124.253120102,30333663.038197316,10569729.709733464,35970094.49308881,247852762.49178445
2024-11-13 15:30:50.337210,23397637.863275506,9455253.656940393,29823543.96965117,13925680.765791856,30050136.008556776,10562753.370542008,36285318.99550986,247262057.44732243
2024-11-13 15:32:27.296505,23228148.500013452,9627393.440101352,30038430.951805446,14119846.08730036,30422366.90978258,10643380.455364676,36261910.699441105,247236306.76038617
2024-11-13 15:34:04.258810,23085635.206715435,9554241.70458195,30110239.50927593,14249572.222077064,30604439.521063525,10690620.235792112,35759220.7116708,247593331.99096835
2024-11-13 15:41:05.155060,23122521.50265874,9398972.870872606,30318443.375865974,14079883.548306823,29887991.07684996,10918543.5719749,35871204.56644572,246256954.48012403
2024-11-13 15:42:42.114355,22962083.243412204,9388591.106308669,30252609.280828368,13901696.424614366,30044573.60685011,10946433.324079975,36020360.36335567,246324440.04311103
2024-11-13 15:44:19.756500,22892266.941398524,9421425.44829154,29951089.064748537,14110509.1494021,30053646.244180296,10804292.878714163,36040597.03996025,244455165.69390607
2024-11-13 15:45:56.358200,23041393.81955946,9542649.093413694,30140667.752020106,14065095.713277955,29912144.746980205,10782145.629543947,35999406.116606995,244888363.6843425
2024-11-13 15:47:32.995125,23000932.574631486,9575623.200256899,30207814.186364368,14234336.83042933,29801809.8218821,10800675.596492419,36028615.463881925,245964750.94354022
2024-11-13 15:49:09.956420,23125330.01420495,9348281.668557342,30244644.231455784,14412409.145805586,29850971.816217247,10849716.776540486,35948535.727708474,245335132.9351786
2024-11-13 15:50:46.916590,23087062.4568013,9405823.53596105,30473674.75111822,14454856.768037193,30059013.83640706,10807678.777465928,36025241.01084289,246099316.25397605
2024-11-13 15:52:23.907885,22977969.754577704,9318014.875353627,30609144.083203144,14484050.684413033,29914709.554664552,10872069.120562673,36003583.74455206,246777490.38930115
2024-11-13 15:54:00.869190,22935614.365328223,9310799.228387369,30653228.744179487,14316629.448190711,30040189.015683316,10928907.306039643,36182466.50472607,247295610.20894015
2024-11-13 15:55:37.860485,22855483.850831542,9322135.745747697,30932451.328006495,14334689.904398762,29854939.665547878,10822439.947594244,36208493.136973664,246339892.94492793
2024-11-13 15:57:14.820780,23128770.19574885,9347341.786305988,30740594.709939815,14442166.693272172,29728073.470145315,10871444.138354141,36102554.589823246,246357127.51286656
2024-11-13 15:58:51.781950,23105000.44042207,9433140.485310182,30964863.70876076,14721755.16060544,30088322.667396307,11253224.75552403,36427152.15127095,248025180.2020083
2024-11-13 16:08:33.636615,23550885.65460638,9388376.428555913,31487853.94981178,14517178.989221187,29740952.655898467,10936546.611535074,36464949.91410789,248923551.9766962
2024-11-13 16:10:10.627910,23143857.86949155,9408019.55380458,31261675.185954716,14377971.659891242,29700424.6984419,10857681.898485096,35917458.24235356,248456012.05972815
2024-11-13 16:24:43.272210,23087690.133857023,9298885.81293859,30297581.76583233,16365393.432393365,29859437.484312385,10216428.65253926,36238997.38924005,244803581.90052098
2024-11-13 16:26:20.267515,23411737.73732312,9266583.529998586,30853952.79060934,16961808.316945404,30254344.69319935,10196869.219856657,36088311.630153015,246019787.347687
2024-11-13 16:27:57.259810,23434013.909942504,9270977.782240279,30789544.51777473,16375790.5517188,30236492.40071047,10254643.360537311,35683048.26825879,245333757.10807848
2024-11-13 16:29:34.251105,23118476.409046154,9307537.05360605,31363281.25213168,15454565.766254308,30090220.940853696,10339367.806819465,35623696.87479914,246212514.57454297
2024-11-13 16:31:11.239275,23296114.141016856,9281944.521057732,32238797.66144018,15130315.785343759,30128917.15441758,10273775.474417794,35612853.60937913,247541686.8708312
2024-11-13 16:32:48.231570,23225546.231743738,9351907.527097361,32207667.20132349,14798478.383501476,30047903.129989237,10260500.64067205,35451261.24355189,247406922.4888959
2024-11-13 16:34:25.221875,23210474.351826876,9176433.693416191,31567703.310458418,14596451.97631632,30418759.06641741,10119401.577847442,35699783.20250257,246480543.99436358
2024-11-13 16:36:02.214170,23068929.46851912,9317955.810028575,31276810.299081635,14661504.370918147,30345435.168809228,10285573.557955667,35404060.860759825,247322679.02453277
2024-11-13 16:37:39.174340,23133367.563001677,9331108.0574432,32633216.267657097,14590170.599529691,30191804.925529327,10624288.69433646,35713832.3604983,249550243.09840733
2024-11-13 16:39:16.134645,23119961.321560934,9269930.358987015,33205751.53873773,14924525.190855576,30142614.354671307,10302209.559172232,35672140.85742444,248393261.13047773
2024-11-13 16:40:53.949400,23089439.226692703,9244701.656801384,32336695.99711228,15232898.814500414,30072396.867856205,10061463.038925797,35753724.282190405,246883433.88185847
2024-11-13 16:42:30.542350,22951818.965890437,9394047.396040708,32128963.57034814,14792217.289549371,29810194.431735195,10026425.527750025,35660180.21852843,246436780.47786975
2024-11-13 16:44:07.154050,23308323.696728274,9253571.881841503,31567476.91215559,14723880.73308438,30067349.79912396,9888726.864027213,35081772.611916564,245305724.28249913
2024-11-13 16:45:43.975700,23028368.736414813,9280799.238230571,31441555.44053231,14896167.318862706,29960236.868217573,9842812.990597736,35082936.23022173,244398285.75834
2024-11-13 16:47:20.935005,22937029.01746045,9420709.420650821,31689869.287456416,14989669.929935906,30073272.107123047,9862635.220130963,35295858.040679835,244998347.32235503
2024-11-13 16:48:57.896300,22919218.873592682,9278752.884526463,32374560.307045836,15202673.016472492,30182912.2781449,10016373.827770192,35381261.206968404,246485118.87555164
2024-11-13 16:50:34.856470,23022378.789975546,9337026.050213397,32325395.28143128,14996509.830675932,30230002.08998724,9834028.435898677,35431136.16765131,246016901.50954574
2024-11-13 16:52:11.815765,23001358.54091247,9544480.281957775,31410881.815874774,15187803.052841023,30227193.248575807,9745048.129263097,35198562.60928322,245855656.7601115
2024-11-13 16:53:48.777070,22647784.769409962,9420067.538424151,30811032.102250896,15059146.731891219,30341897.84876351,9843917.069600526,34883788.50883082,244894221.53242004
2024-11-13 16:55:25.737240,23180341.62722727,9520834.915739005,30577359.329150084,15301066.557940412,30268699.096134543,10111572.415700078,35104154.47733416,243918210.98775467
2024-11-13 16:57:02.696535,23085137.411762353,9549546.641430542,31864961.38031584,15310351.025612764,30866804.072491743,9902630.126405526,34940709.51293671,246852960.12347704
2024-11-13 16:58:39.657830,23093849.744916182,9567313.975575127,33293772.59442666,15250950.235230355,31232011.749997705,10119149.624568548,34988008.30877432,249260215.38824898
2024-11-13 17:00:16.617010,23063434.109917603,9565902.66424015,33452286.159961842,15209616.135835305,31169638.103962004,10277442.363528864,35112253.33338948,249247778.85366845
2024-11-13 17:01:53.577305,23128481.69834069,9594866.182857469,33187054.443352066,15561984.417266658,31036049.263648525,10389668.586372416,35284763.78186035,249034566.20030254
2024-11-13 17:03:30.537600,23395386.79598272,9534010.562927213,33703294.03859055,15724792.942250673,30843062.726545967,10394218.146234691,35179830.68583836,249649976.26634675
2024-11-13 17:05:06.898950,24528105.806565963,9672998.781955734,42258032.11308423,16080149.686451737,33192235.023246586,10189662.716559784,35923109.81892234,269888100.14786017
2024-11-13 17:05:25.449810,24872582.18140827,9864937.386798745,44412916.57811147,15999624.895337593,33763643.429455064,10381187.594700603,36343037.01999495,273225142.8410325
2024-11-13 17:05:44.809840,24573668.199694254,9907066.729913425,44958813.400901645,16049473.396113323,33315824.09264967,10347211.263597246,36114216.19686114,272505047.7761988
2024-11-13 17:06:05.609005,24487612.027740017,10068641.4865388,44191780.82118353,16000686.870817186,33045899.313130733,10306515.768299092,35796209.10588606,270161427.0939099
2024-11-13 17:06:26.377920,24462880.68971257,10217988.779806148,43631667.7383744,15957331.30835216,33333918.298253566,10244719.993496306,35763426.75041969,269557863.60027224
2024-11-13 17:06:47.146075,24902972.740586787,10293862.436537363,43489539.37004267,15988063.127398781,33252955.427382883,10127548.765127415,35831835.13116923,268780886.37713313
2024-11-13 17:07:07.914115,25042626.74410457,10190495.938039288,43857414.24141807,15999414.027346473,33260961.21848435,10134309.446872652,35874971.44902444,269311372.3391343
2024-11-13 17:07:28.714155,24978405.99462019,10219985.792187693,44005716.61604303,15802921.978377158,33328579.56455801,10134881.536188496,36009239.96752397,269549979.90352154
2024-11-13 17:07:49.482185,25137888.622984547,10228613.233996771,42597692.663882226,15674505.901650582,33274623.643800456,10149800.988951944,36189505.20657136,268445287.04079735
2024-11-13 17:08:10.250350,25455223.64904977,10241462.20995656,41799745.33388721,15515211.106478559,33053745.084327135,10133095.658910204,36146073.18706906,266874787.19801423
