Time,Total,Area,Exposure,Meas_exposure
2024-11-01 01:48:19.420435,1731231292.6357727,1731231292.635773,303186,2000,1918.9
2024-11-01 01:49:48.508595,1730052454.3532104,1730052454.3532104,303186,2000,1924.3000000000002
2024-11-01 01:51:17.596880,1731913613.1938477,1731913613.1938477,303186,2000,1924.3000000000002
2024-11-01 01:52:46.685165,1729654270.0952148,1729654270.0952148,303186,2000,1924.3000000000002
2024-11-01 01:54:15.773315,1730096257.2119904,1730096257.2119904,303186,2000,1924.3000000000002
2024-11-01 01:55:44.861600,1733044915.2986145,1733044915.2986145,303186,2000,1924.3000000000002
2024-11-01 01:57:13.947760,1731538605.2772522,1731538605.2772522,303186,2000,1924.3000000000002
2024-11-01 01:58:43.401700,1730653972.0408173,1730653972.0408173,303186,2000,1924.3000000000002
2024-11-01 02:00:12.125330,1727454441.2543335,1727454441.2543335,303186,2000,1924.3000000000002
2024-11-01 02:01:40.956615,1729039855.0793304,1729039855.0793304,303186,2000,1924.3000000000002
2024-11-01 02:03:09.789765,1728755530.8763733,1728755530.8763733,303186,2000,1924.3000000000002
2024-11-01 02:04:38.622050,1728944936.3534546,1728944936.3534546,303186,2000,1924.3000000000002
2024-11-01 02:06:07.454335,1731606169.8086395,1731606169.8086395,303186,2000,1921.6000000000004
2024-11-01 02:07:36.286495,1731487412.4385376,1731487412.4385376,303186,2000,1924.3000000000002
2024-11-01 02:09:05.118905,1736098880.9846802,1736098880.9846802,303186,2000,1924.3000000000002
2024-11-01 02:10:33.951055,1736100780.8099976,1736100780.8099976,303186,2000,1921.6000000000004
2024-11-01 02:12:02.751340,1738569524.9315643,1738569524.9315643,303186,2000,1924.3000000000002
2024-11-01 02:13:31.551500,1754978442.0027657,1754978442.0027657,303186,2000,1924.3000000000002
2024-11-01 02:14:05.663560,1760537951.586731,1760537951.586731,303186,2000,1924.3000000000002
2024-11-01 02:14:24.127590,1767406908.1891785,1767406908.1891785,303186,2000,1918.9
2024-11-01 02:14:42.591630,1775334287.7100182,1775334287.7100182,303186,2000,1921.6000000000004
2024-11-01 02:15:02.461785,1777193704.3110657,1777193704.3110657,303186,2000,1924.3000000000002
2024-11-01 02:16:33.998945,1783804461.874654,1783804461.8746543,303186,1500,1424.8000000000002
2024-11-01 02:18:10.724250,1753152912.9536133,1753152912.9536133,303186,2000,1924.3000000000002
2024-11-01 02:19:47.396545,1745957485.1980286,1745957485.1980286,303186,2000,1924.3000000000002
2024-11-01 02:21:24.998400,1742242809.9102783,1742242809.9102783,303186,2000,1924.3000000000002
2024-11-01 02:23:00.805010,1737942461.1619873,1737942461.1619873,303186,2000,1924.3000000000002
2024-11-01 02:24:37.509305,1734029916.9713745,1734029916.9713748,303186,2000,1924.3000000000002
2024-11-01 02:26:14.212610,1732216977.7629395,1732216977.7629395,303186,2000,1924.3000000000002
2024-11-01 02:27:50.917905,1728875516.141346,1728875516.141346,303186,2000,1921.6000000000004
2024-11-01 02:29:27.622200,1730756912.305359,1730756912.305359,303186,2000,1924.3000000000002
2024-11-01 02:31:04.325370,1735909358.385254,1735909358.385254,303186,2000,1918.9
