Date,FullDiskIntensity,ROI_Intensity,OutsideROI_Intensity,Exposure
2024-07-10 03:52:54.622000,50736956.91892954,4259117.281035298,46484577.75586819,2.90081
2024-07-10 03:53:06.615000,50709710.29116361,4260526.977129484,46456038.98774446,2.9008089999999997
2024-07-10 03:53:18.622000,50733980.325481735,4263349.38403369,46477433.8735966,2.9008079999999996
2024-07-10 03:53:30.616000,50713119.93072276,4257189.031469853,46462740.036569126,2.9008079999999996
2024-07-10 03:53:42.625000,50747343.93060695,4252549.547384885,46501538.01922154,2.9008089999999997
2024-07-10 03:53:54.622000,50714360.96425548,4250154.784460055,46470969.46781725,2.9008079999999996
2024-07-10 03:54:06.623000,50736136.02274401,4245369.481410187,46497577.74469122,2.9008089999999997
2024-07-10 03:54:18.623000,50716114.021984905,4242594.393495057,46480330.142384425,2.9008089999999997
2024-07-10 03:54:30.622000,50723895.73946588,4238918.784753224,46491792.29249761,2.90081
2024-07-10 03:54:42.615000,50714951.1446466,4241979.131331685,46479783.5637519,2.9008079999999996
2024-07-10 03:54:54.623000,50715363.886419274,4240625.632366695,46481521.53416513,2.9008089999999997
2024-07-10 03:55:06.630000,50683684.43042845,4237391.806156346,46453100.71800586,2.9008119999999997
2024-07-10 03:55:18.622000,50693526.290932536,4230931.360551018,46469453.70431018,2.90081
2024-07-10 03:55:30.615000,50692985.75225541,4227173.78938986,46472581.10665642,2.90081
2024-07-10 03:55:42.625000,50718655.823718205,4228830.912745061,46496568.88937917,2.90081
2024-07-10 03:55:54.623000,50708131.86661657,4229965.078719392,46484919.72931699,2.90081
2024-07-10 03:56:06.615000,50693637.533529446,4236424.390575182,46464113.97648036,2.9008089999999997
2024-07-10 03:56:18.622000,50723787.303399615,4240114.4784487635,46490445.42072416,2.9008079999999996
2024-07-10 03:56:30.623000,50708855.3572469,4239793.795454992,46475796.23477451,2.9008089999999997
2024-07-10 03:56:42.616000,50721307.11257492,4244224.191483333,46483908.26549587,2.9008059999999998
2024-07-10 03:56:54.622000,50710416.30110773,4238124.605928898,46479078.07787414,2.9008089999999997
2024-07-10 03:57:06.623000,50711678.46222262,4246948.266173931,46471488.99790059,2.90081
2024-07-10 03:57:18.622000,50710644.31380647,4254000.007584097,46463384.844286434,2.900807
2024-07-10 03:57:30.615000,50727495.73739161,4256252.572560868,46478078.16172471,2.9008059999999998
2024-07-10 03:57:42.647000,50743882.90702654,4261972.362164171,46488690.3846724,2.9008059999999998
2024-07-10 03:57:54.616000,50722062.76462473,4258605.022190385,46470179.66730626,2.9008059999999998
2024-07-10 03:58:06.622000,50739765.35511301,4258504.43789991,46488057.64185095,2.9008089999999997
2024-07-10 03:58:18.630000,50733423.239318155,4256664.350070739,46483556.305691384,2.9008079999999996
2024-07-10 03:58:30.622000,50711432.12511825,4250686.360489906,46467549.730971515,2.9008079999999996
2024-07-10 03:58:42.616000,50760325.99159338,4258898.97687233,46508262.6892962,2.900811
2024-07-10 03:58:54.623000,50716190.305466406,4258731.871442804,46464180.69435778,2.90081
2024-07-10 03:59:06.615000,50742652.746886045,4261176.181014143,46488362.56882555,2.900812
2024-07-10 03:59:18.623000,50712594.06855327,4264231.714590063,46455173.55497258,2.90081
2024-07-10 03:59:30.623000,50702335.79666914,4261296.417654524,46447842.65354941,2.9008089999999997
2024-07-10 03:59:42.625000,50737700.5947647,4269191.960455197,46475278.80996039,2.900811
2024-07-10 03:59:54.615000,50743834.99781096,4264034.873018226,46486613.0494586,2.90081
2024-07-10 04:00:06.622000,50740976.743512616,4264687.591139217,46483101.45333224,2.900782
2024-07-10 04:00:18.623000,50728004.936552204,4263628.090085183,46471246.30706596,2.90081
2024-07-10 04:00:30.615000,50741719.80417863,4263609.402486963,46484890.58389614,2.900807
2024-07-10 04:00:42.626000,50736940.37182718,4271057.049582703,46472752.09338082,2.90081
2024-07-10 04:00:54.624000,50752103.03329071,4274036.906932891,46484886.63511226,2.90081
2024-07-10 04:01:06.616000,50752425.790478304,4279336.405352028,46479987.12082534,2.900807
2024-07-10 04:01:18.622000,50769886.607494675,4286162.2395683415,46490589.34938495,2.9008089999999997
2024-07-10 04:01:30.622000,50776379.546664245,4289414.880267844,46493760.359182686,2.9008079999999996
2024-07-10 04:01:42.626000,50774858.16877856,4297953.9831502065,46483925.33526016,2.9008069999999995
2024-07-10 04:01:54.615000,50772386.176541165,4302657.74225664,46476678.22206779,2.9008079999999996
2024-07-10 04:02:06.622000,50770367.428661264,4317265.741131437,46459982.18427418,2.9008079999999996
2024-07-10 04:02:18.616000,50770385.8858538,4317080.149448119,46460245.87649088,2.9008059999999998
2024-07-10 04:02:30.622000,50786711.42202842,4317778.811206675,46475855.85666334,2.900807
2024-07-10 04:02:42.615000,50777870.70214279,4323223.614402343,46461547.58367158,2.9008059999999998
2024-07-10 04:02:54.623000,50760272.73770869,4328966.505550693,46438283.94079031,2.900809
2024-07-10 04:03:06.615000,50763931.55421922,4333585.791815864,46437157.659920156,2.900807
2024-07-10 04:03:18.623000,50778379.831840076,4341661.81170087,46443607.1304222,2.90081
2024-07-10 04:03:30.622000,50810843.60691477,4352310.3578798445,46465496.8308808,2.9008059999999998
2024-07-10 04:03:42.625000,50829104.16683904,4356082.167451276,46479926.97207124,2.9008079999999996
2024-07-10 04:03:54.615000,50830995.07758009,4360387.395378324,46477506.10260793,2.9008089999999997
2024-07-10 04:04:06.624000,50833514.77690714,4366146.007494459,46474357.16230984,2.90081
2024-07-10 04:04:18.616000,50841943.747416675,4373005.254741006,46475884.486017525,2.9008089999999997
2024-07-10 04:04:30.623000,50865308.264004976,4383170.005332995,46489122.172469825,2.9008089999999997
2024-07-10 04:04:42.616000,50889011.23032315,4414101.317323077,46481845.91391292,2.900807
2024-07-10 04:04:54.623000,50898199.398236625,4421508.076370446,46483815.543807104,2.900808
2024-07-10 04:05:06.615000,50895343.2613752,4434771.427399341,46467521.62415493,2.900807
2024-07-10 04:05:18.630000,50939671.98104805,4452024.401477106,46494609.77768953,2.9008079999999996
2024-07-10 04:05:30.616000,50959418.203479856,4464102.070871288,46502254.54425112,2.900808
2024-07-10 04:05:42.626000,50947738.40832788,4468758.564415262,46486056.48558282,2.900811
2024-07-10 04:05:54.622000,50950957.112638965,4472454.916009609,46485492.31800244,2.9008079999999996
2024-07-10 04:06:06.623000,50949438.26034798,4455411.764300317,46501014.54421351,2.90081
2024-07-10 04:06:18.638000,50950773.05993843,4451013.682385265,46506734.32592966,2.90081
2024-07-10 04:06:30.623000,50956046.06989083,4457816.954574757,46505311.275126606,2.90081
2024-07-10 04:06:42.615000,50946538.01749788,4449569.068490894,46503970.444107145,2.9008089999999997
2024-07-10 04:06:54.622000,50937562.95655352,4446511.491617858,46497909.20467042,2.90081
2024-07-10 04:07:06.638000,50940250.11643304,4446275.849254467,46500914.74481774,2.9008089999999997
2024-07-10 04:07:18.622000,50962057.162634864,4452750.282593385,46516249.42128253,2.900811
2024-07-10 04:07:30.616000,50943438.192586966,4442911.960077344,46507522.55663852,2.9008089999999997
2024-07-10 04:07:42.626000,50935098.45012202,4437871.29728293,46504257.26064695,2.9008089999999997
2024-07-10 04:07:54.616000,50935605.89476936,4446666.774682512,46495862.361155115,2.9008089999999997
2024-07-10 04:08:06.622000,50947425.02956071,4449291.749545816,46505112.70989827,2.90081
2024-07-10 04:08:18.623000,50944744.39897822,4440856.519385965,46510871.10151992,2.90081
2024-07-10 04:08:30.616000,50945455.92437974,4432539.876793033,46519938.91361379,2.90081
2024-07-10 04:08:42.625000,50947222.98063161,4431945.51311221,46522282.06761703,2.9008079999999996
2024-07-10 04:08:54.623000,50949423.74676297,4426684.909859598,46529766.8787455,2.900808
2024-07-10 04:09:06.630000,50938902.25871316,4427970.315887523,46517937.22514152,2.900811
2024-07-10 04:09:18.624000,50928175.23381401,4434419.351836211,46500749.790575735,2.90081
2024-07-10 04:09:30.623000,50945205.687235154,4432003.866503586,46520193.65612111,2.900812
2024-07-10 04:09:42.625000,50944497.207503155,4430323.747616613,46521234.59352202,2.9008089999999997
2024-07-10 04:09:54.623000,50945857.55500789,4436450.013461753,46516436.95504464,2.900811
2024-07-10 04:10:06.623000,50906035.2108549,4425626.2905878015,46487390.76326957,2.90081
2024-07-10 04:10:18.622000,50893574.24527141,4413892.873406782,46486718.369449094,2.900811
2024-07-10 04:10:30.623000,50872952.03753435,4408440.745860639,46471400.74668799,2.90081
2024-07-10 04:10:42.616000,50893586.27417859,4408336.9817395825,46492272.15846608,2.9008100000000003
2024-07-10 04:10:54.622000,50864433.820599206,4399842.182120041,46471611.39708468,2.9008119999999997
2024-07-10 04:11:06.615000,50862622.1167957,4394858.124061254,46474902.69093898,2.9008089999999997
2024-07-10 04:11:18.622000,50859398.97497631,4384148.777703891,46482327.87313617,2.900811
2024-07-10 04:11:30.622000,50850419.417190574,4374320.491752134,46483083.52388349,2.900811
2024-07-10 04:11:42.626000,50847663.5311046,4369057.390541743,46485658.31118147,2.9008089999999997
2024-07-10 04:11:54.622000,50861321.981113575,4369232.349689553,46499190.39938114,2.900813
2024-07-10 04:12:06.616000,50835443.317250475,4367898.712498431,46474545.74788024,2.900812
2024-07-10 04:12:18.622000,50837864.70822653,4360011.955273214,46484827.00705872,2.9008119999999997
2024-07-10 04:12:30.622000,50811130.12494433,4356812.851022404,46461308.07511828,2.9008119999999997
