Date,FullDiskIntensity,ROI_Intensity,OutsideROI_Intensity,Exposure
2024-07-10 14:48:18.623000,52058282.81028026,7368708.376008034,44696113.272759676,2.900821
2024-07-10 14:48:30.622000,52055538.797836065,7367501.384953698,44694566.60343166,2.900819
2024-07-10 14:48:42.622000,52063300.67822155,7372359.972449189,44697474.026327714,2.900822
2024-07-10 14:48:54.622000,52074030.076312885,7384561.12941819,44696085.69436032,2.9008209999999996
2024-07-10 14:49:06.623000,52078820.38993761,7392155.9502251595,44693338.40775531,2.9008230000000004
2024-07-10 14:49:18.622000,52087091.20624817,7399188.712436928,44694403.411999576,2.9008209999999996
2024-07-10 14:49:30.630000,52090075.18905855,7389496.973443037,44707045.35026464,2.9008209999999996
2024-07-10 14:49:42.622000,52084817.33798213,7388290.629345751,44703011.76700949,2.900822
2024-07-10 14:49:54.623000,52048553.15098725,7382351.410169741,44672696.45386599,2.900821
2024-07-10 14:50:06.622000,52088234.11798287,7381487.630428279,44713214.29605617,2.9008279999999997
2024-07-10 14:50:18.623000,52080829.5028099,7383302.388081724,44703996.31552712,2.900822
2024-07-10 14:50:30.622000,52101229.16798814,7389647.906939547,44718135.2608776,2.9008239999999996
2024-07-10 14:50:42.623000,52111670.339186385,7395723.422034566,44722503.67481791,2.900824
2024-07-10 14:50:54.623000,52133924.65936415,7403005.007196229,44737427.45598235,2.9008249999999998
2024-07-10 14:51:06.622000,52117141.887960106,7399575.43098099,44724130.798697196,2.900824
2024-07-10 14:51:18.623000,52090186.78830567,7399847.767392989,44696861.30561523,2.900824
2024-07-10 14:51:30.623000,52091067.88586006,7397705.135607975,44699846.42300036,2.9008249999999998
2024-07-10 14:51:42.624000,52098784.44757536,7391759.091650261,44713584.18875208,2.900821
2024-07-10 14:51:54.622000,52084449.1955898,7391628.094253317,44699342.70332434,2.9008209999999996
2024-07-10 14:52:06.622000,52081345.16261587,7387858.760131605,44699889.410732955,2.9008239999999996
2024-07-10 14:52:18.622000,52070846.12568437,7401527.567013763,44675767.075677164,2.9008220000000002
2024-07-10 14:52:30.623000,52120949.123748675,7429703.915061346,44697704.06536352,2.900823
