Date,QS_mode,AR_mode,AR mean,Ar_sigma,ARmode_200G,ARmean200G,AR_sigma200G
2024-07-10 04:12:22.803385,5280,5772,7329.222988085712,2070.5032867897794,9970,8458.47086633766,2283.1421673332743
2024-07-10 04:13:54.291420,5232,5395,7332.63106875821,2050.256400063105,9960,8439.569753111777,2248.496019951112
2024-07-10 04:15:25.778705,5116,5431,7336.681677409608,2027.6958112202956,9854,8444.034147350992,2236.583215652674
2024-07-10 04:16:57.490865,5248,5475,7364.300268163705,2053.184715982732,7269,8523.990969072165,2273.914817289684
2024-07-10 04:18:29.203160,5418,5366,7389.334239474017,2096.336463465218,9006,8550.396927968288,2346.901078738347
2024-07-10 04:20:00.915445,5218,5353,7399.44142933737,2161.463577680692,10175,8607.324338854083,2468.9345135852195
2024-07-10 04:21:32.627605,5211,5525,7383.540101856001,2136.2535242239387,8350,8584.29350273732,2401.5483117764325
2024-07-10 04:23:04.339900,5333,5528,7397.35002174283,2116.8958933415192,6014,8577.061952388825,2374.03303584235
2024-07-10 04:24:36.509350,5207,5523,7366.389452409524,2095.607050558186,8845,8528.104106873696,2334.5868881421516
2024-07-10 04:26:07.764220,5203,5576,7352.868994642295,2091.063490244708,8296,8498.326987404502,2316.0387897465635
2024-07-10 04:27:39.474515,5184,5384,7348.192274101022,2083.6806065683845,9190,8501.361530216836,2302.688982548354
2024-07-10 04:29:11.217675,5240,5438,7351.720864442555,2086.6584404768523,10248,8488.891441145019,2300.551264901101
2024-07-10 04:30:42.930960,5270,5484,7379.850117995028,2108.641284187598,10239,8516.411029984823,2341.131971317277
2024-07-10 04:32:14.643130,5228,5557,7373.094313863654,2111.4540078310674,8931,8523.763558330082,2320.39708960803
2024-07-10 04:33:46.354415,5244,5631,7394.799426934097,2122.9756933550434,10124,8553.680441789329,2327.0447039743044
2024-07-10 04:35:18.675750,5255,5555,7401.616266878877,2107.31489492212,8877,8557.757334761825,2320.4532560376565
2024-07-10 04:36:49.779860,5183,5440,7384.007714950238,2085.9503031763466,7402,8510.305847292158,2291.6044191811584
2024-07-10 04:38:21.491030,5252,5573,7392.386510378572,2115.095045322357,5904,8548.30059480931,2336.6976545729212
2024-07-10 04:39:53.204315,5202,5692,7389.801134972598,2112.6735044547063,10362,8549.087122305124,2348.0383969493023
2024-07-10 04:41:24.916350,5281,5465,7363.372162356775,2121.675258427485,6111,8524.109999382374,2362.05196975397
2024-07-10 04:42:56.627645,5303,5564,7373.109878880586,2082.6672210968777,7046,8530.364576905673,2298.3079927140675
2024-07-10 04:44:28.340805,5112,5545,7337.400160565995,2068.935206554187,8547,8468.42330013171,2285.1583982404745
2024-07-10 04:46:00.180090,5249,5541,7351.775528301887,2047.7088709235495,6020,8468.743261594173,2257.7592538825315
2024-07-10 04:47:32.148260,5230,5464,7375.687457445014,2110.187081679657,8753,8557.145679012345,2359.7348989199863
2024-07-10 04:49:04.120545,5222,5563,7404.198042461408,2160.1166853702,6037,8604.748035717968,2456.0681750058898
2024-07-10 04:50:36.847050,5239,5527,7379.905998472843,2135.262026534381,10174,8563.887288936363,2400.770092120333
2024-07-10 04:52:08.530000,5211,5719,7370.687449188593,2104.2835609991484,10053,8522.087798752496,2333.3782053669124
2024-07-10 04:53:40.211600,5224,5440,7393.649745308895,2082.061039776258,6236,8552.331879874717,2279.9735733759967
2024-07-10 04:55:12.214550,5259,5539,7401.882239622947,2075.364682581729,9562,8558.151561857789,2271.641751574742
2024-07-10 04:56:43.988615,5233,5567,7399.499533076369,2068.278149749994,10265,8540.177334019558,2255.7230482703526
2024-07-10 04:58:15.989900,5280,5393,7384.860304757591,2074.905425203182,8397,8493.08665500566,2258.965975067332
2024-07-10 04:59:47.990070,5306,5348,7375.374833847466,2059.6163215381534,10481,8512.3858405261,2224.6007197810927
2024-07-10 05:01:19.989355,5290,5700,7392.528240326146,2080.438628514706,10267,8553.58040779413,2283.0478846760275
2024-07-10 05:02:51.990515,5085,5566,7391.307562044894,2076.9498893463474,8571,8538.795794133923,2277.3736917376086
2024-07-10 05:04:23.990685,5081,5410,7376.640956066697,2046.2489288769468,9546,8502.686760377863,2242.7272331039485
2024-07-10 05:05:55.989970,5163,5343,7342.311019900498,2063.2304958246787,8101,8491.80148495506,2269.836552736918
2024-07-10 05:07:27.991255,5177,5410,7318.6302186010535,2030.1034936334638,9027,8429.888170265524,2217.6678636816455
2024-07-10 05:08:59.991550,5260,5485,7303.096560615875,2032.415556124056,8318,8408.42251169693,2212.360766944825
2024-07-10 05:10:31.990710,5168,5371,7283.2011551483765,2034.567140188628,10530,8375.343649683102,2243.3481637971545
2024-07-10 05:12:03.991880,5288,5459,7263.297791700266,2015.7879919070278,9868,8342.19694376276,2219.360469716668
2024-07-10 05:13:35.992165,5321,5496,7311.475908010703,2024.7407530885796,8829,8403.247854452655,2229.5697486544586
2024-07-10 05:15:07.991325,5233,5383,7294.859324973734,2024.2607901666083,10274,8390.881784738065,2228.5523248650275
2024-07-10 05:16:40.247620,5247,5497,7306.099903830542,2021.9193806414728,10001,8393.756952568601,2224.5262425038486
2024-07-10 05:18:12.533780,5291,5527,7297.214234216316,2033.7572568894577,8125,8409.938731615388,2231.602099045394
2024-07-10 05:19:44.792950,5273,5437,7305.201682926221,2029.4437826944986,9079,8372.39469581983,2233.5872199711134
2024-07-10 05:21:17.462350,5240,5365,7280.399375820474,2046.2211570791428,10286,8386.739141144593,2248.7451377458924
2024-07-10 05:22:49.302395,5263,5603,7315.615750127498,2065.9847015883515,10716,8433.777832725475,2289.4868664151245
