image_index,image datetime,area_px,intensity_sum,mean_intensity,centroid_row,centroid_col,w_centroid_row,w_centroid_col,peak_intensity,peak thresh
83,2024-07-10 05:58:21.978695,3074.0,44822906.45800781,14581.296830841839,357.52862719583607,338.968119713728,357.06703906508113,338.7481386882362,17746.40234375,6528.536577022324
84,2024-07-10 05:58:42.266725,3116.0,45210126.42089844,14509.026450865995,357.6107188703466,339.155648267009,357.130185829147,338.85829978798597,17644.421875,6491.020059168173
85,2024-07-10 05:59:02.554765,3119.0,44835212.740234375,14374.867823095343,358.0461686437961,339.5652452709202,357.50538344400906,339.1563180047707,17462.015625,6423.916549851994
86,2024-07-10 05:59:22.842805,3000.0,42899211.60449219,14299.737201497395,357.943,339.566,357.4343963182349,339.22614930040737,17233.041015625,6339.68149851267
87,2024-07-10 05:59:43.134960,2976.0,42374501.94433594,14238.743932908581,357.52049731182797,339.69690860215053,357.0072181761923,339.2850726181923,17100.091796875,6290.77221421474
88,2024-07-10 06:00:03.415855,2982.0,42213223.08203125,14156.010423216381,357.87491616364855,340.9738430583501,357.39725809274614,340.5915906954895,16970.2734375,6243.014708714072
89,2024-07-10 06:00:23.703980,3125.0,43551134.080078125,13936.362905625,358.16384,343.33024,357.7078161408073,342.73321481437694,16606.01953125,6109.0131852383065
90,2024-07-10 06:00:43.992105,2997.0,41632728.609375,13891.467670795795,358.033033033033,342.2339005672339,357.5284225748877,341.6082095439959,16433.732421875,6045.632299720389
91,2024-07-10 06:01:04.280230,2905.0,40085201.26660156,13798.692346506561,357.3342512908778,341.5542168674699,356.8159262006483,340.8809363839062,16597.599609375,6105.915669084225
92,2024-07-10 06:01:24.569355,2900.0,39735468.796875,13701.885792025862,356.13448275862066,340.8034482758621,355.72674279340805,340.2622251779693,16493.15625,6067.493104403282
93,2024-07-10 06:01:44.857480,3057.0,41697735.255859375,13640.083498809086,356.03598298985935,341.7180242067386,355.66585086872885,341.0564177319219,16511.533203125,6074.253607649341
94,2024-07-10 06:02:05.145730,3041.0,41578172.71777344,13672.532955532206,356.9618546530746,341.99342321604735,356.528588125108,341.44162726039946,16360.7802734375,6018.794704120945
95,2024-07-10 06:02:25.432855,3153.0,43021316.078125,13644.565835117348,356.53346019663815,343.65778623533146,356.20251219642125,343.00879812115204,16330.4189453125,6007.625395697098
96,2024-07-10 06:02:45.720980,3171.0,43632437.705078125,13759.835290153935,356.34437086092714,342.55629139072846,355.9729209598777,341.9562250118083,16560.548828125,6092.28544838301
97,2024-07-10 06:03:06.910500,3035.0,42021278.708984375,13845.561353866351,354.8464579901153,340.0306425041186,354.5377048472163,339.54184285638365,16453.322265625,6052.839000491775
98,2024-07-10 06:03:26.297230,3063.0,42286562.212890625,13805.60307309521,354.7450212210251,340.64936336924586,354.47965963055776,340.1800876635268,16371.3564453125,6022.685460320054
99,2024-07-10 06:03:46.585355,3061.0,42284216.16796875,13813.856964380513,354.63672002613527,340.6589349885658,354.3606267374172,340.1439308452925,16522.4453125,6078.267948348217
