image_index,image datetime,area_px,intensity_sum,mean_intensity,centroid_row,centroid_col,w_centroid_row,w_centroid_col
51,18:29.0,24,455147.75,18964.49,471.4583333,373.125,471.4499799,373.1291587
51,18:29.0,35,634289.56,18122.56,629.4,171.6285714,629.3798994,171.6510434
52,20:01.2,59,901095.4,15272.802,384.6101695,279.6271186,384.4802016,279.7423831
52,20:01.2,48,880530,18344.377,625.5,174.2291667,625.5016582,174.2346514
52,20:01.2,18,317834.56,17657.475,634.6111111,126.8888889,634.60869,126.8935125
53,21:33.5,28,417876.3,14924.154,386.0714286,279.1071429,386.0369804,279.145375
53,21:33.5,27,513944.53,19034.984,470.0740741,363.962963,470.0760922,363.9583509
53,21:33.5,18,340795.44,18933.082,473.7777778,373.1666667,473.7740545,373.1721568
53,21:33.5,95,1.74E+06,18351.672,626.5368421,174.5894737,626.5251444,174.5871526
53,21:33.5,37,655735.2,17722.574,632.2162162,128.4324324,632.2103724,128.4502716
54,23:05.7,42,633759.7,15089.518,385.2857143,279.3809524,385.2289226,279.4359808
54,23:05.7,25,476063.2,19042.527,470.36,363.96,470.3648242,363.9564012
54,23:05.7,16,315581.38,19723.836,490.6875,466.0625,490.6921121,466.0676683
54,23:05.7,36,659673.6,18324.268,626.4444444,174.1666667,626.4382836,174.1692167
54,23:05.7,20,365165.25,18258.262,631.9,179.4,631.8954179,179.400816
55,24:38.0,57,877943.75,15402.523,384.7719298,280.0350877,384.5740068,280.2502328
55,24:38.0,43,788832.5,18344.943,622.6046512,170.4883721,622.600345,170.4957396
55,24:38.0,87,1.59E+06,18265.635,630.3333333,174.0344828,630.3200471,174.0644398
55,24:38.0,18,343419.8,19078.879,635.3333333,400.6111111,635.3361084,400.6069475
55,24:38.0,16,293959.84,18372.492,638.4375,177.0625,638.4404278,177.0593935
56,26:10.2,43,643352.9,14961.694,385.8139535,279.0232558,385.7528736,279.089126
56,26:10.2,70,1.29E+06,18387.266,620.5857143,172.0285714,620.5754715,172.0321049
56,26:10.2,28,519485.4,18553.05,623.6428571,180.6785714,623.6378864,180.6903184
56,26:10.2,32,565102.75,17659.46,632.65625,124.03125,632.6654559,124.0218389
56,26:10.2,40,733982,18349.55,632.75,175.575,632.7584871,175.5722068
57,27:42.5,38,566188.9,14899.709,386,278.7105263,385.9760026,278.7582483
57,27:42.5,18,324277.28,18015.406,575.5555556,104.5,575.5588637,104.493512
57,27:42.5,18,333052.72,18502.93,611.5555556,153.3888889,611.5554698,153.3913501
57,27:42.5,21,386740.66,18416.223,625.2857143,162.8571429,625.2858497,162.8593024
57,27:42.5,57,1.01E+06,17702.916,629.754386,122.5438596,629.7517295,122.549152
57,27:42.5,19,341823.5,17990.713,631.3684211,168.8421053,631.3645269,168.8484491
58,29:14.8,44,678429.5,15418.853,384.2727273,280.2727273,384.117948,280.4305684
58,29:14.8,19,369790.6,19462.664,536.4210526,583.2105263,536.4206792,583.2089408
59,30:47.1,20,220810.14,11040.507,361.1,185.35,361.0679024,185.4359296
59,30:47.1,25,395436.25,15817.451,372.48,276.16,372.372703,276.1738947
59,30:47.1,19,331941.5,17470.607,379.2631579,285,379.2228439,285.0541757
59,30:47.1,42,619771,14756.451,387.5,278.1904762,387.4679437,278.2637186
59,30:47.1,22,397360.88,18061.86,386.1818182,288.3636364,386.1978529,288.4089514
59,30:47.1,28,514878.47,18388.516,620.8928571,178.2142857,620.9010227,178.2255274
59,30:47.1,21,385669.7,18365.223,627.8095238,175.6666667,627.8091304,175.6652026
59,30:47.1,35,640408.4,18297.383,633.8857143,180.3142857,633.8911914,180.3121134
60,32:19.3,16,237064.05,14816.503,385,278.9375,384.9856369,278.9655207
60,32:19.3,21,402033.56,19144.453,553.6666667,393.4761905,553.6669683,393.4791863
60,32:19.3,43,787198.75,18306.947,626.7906977,176.372093,626.7925481,176.3856785
60,32:19.3,28,493052.75,17609.027,631.2857143,125.2857143,631.2844262,125.2859074
61,33:51.5,29,471633.34,16263.219,370.5172414,276.4827586,370.3550725,276.5324542
61,33:51.5,108,1.67E+06,15435.6,384.6388889,279.3611111,384.3438635,279.6464161
61,33:51.5,16,288309.75,18019.357,386.25,288.0625,386.2709168,288.0875337
61,33:51.5,39,766162.2,19645.184,534.1794872,581.6410256,534.1818567,581.6416647
61,33:51.5,16,305574.88,19098.43,576.75,310.625,576.7548521,310.6219304
62,35:23.8,20,311023.7,15551.185,374.6,276.5,374.547302,276.5682359
62,35:23.8,144,2.24E+06,15534.607,386.5277778,279.4444444,386.3155787,279.8635302
62,35:23.8,21,411986.12,19618.385,535,580.8571429,535.0008758,580.8606573
63,36:56.4,29,515880.1,17788.97,358.6206897,76,358.6231482,76.01810947
63,36:56.4,99,1.48E+06,14972.702,386.7373737,277.9393939,386.5409759,278.1682778
63,36:56.4,19,371475.72,19551.354,536.1578947,581.7894737,536.1609807,581.7867725
63,36:56.4,24,441963.12,18415.13,574.4166667,123.125,574.4116273,123.1256325
63,36:56.4,62,1.13E+06,18159.062,579.4354839,104.1774194,579.4366084,104.1833058
63,36:56.4,18,330256.06,18347.557,619.1111111,176.0555556,619.1132842,176.0579646
64,38:28.3,19,324339.6,17070.506,364.5263158,360.0526316,364.4576898,360.0899578
64,38:28.3,17,303914.06,17877.297,367.0588235,75,367.0559976,75.00913484
64,38:28.3,176,2.69E+06,15273.769,385.25,277.9943182,384.8811054,278.4144341
64,38:28.3,18,337572.25,18754.014,457.9444444,322.2777778,457.9456816,322.2793036
64,38:28.3,24,439217.3,18300.72,577.4166667,120.25,577.4079817,120.2597909
65,40:00.6,16,277073.03,17317.064,363.625,360.5625,363.5868341,360.5787357
65,40:00.6,231,3.58E+06,15519.19,385.3593074,278.5497835,385.1223794,279.1229279
66,41:32.8,226,3.57E+06,15807.137,387.0575221,279.699115,386.9746999,280.3496857
66,41:32.8,19,359036.12,18896.639,586.1052632,173.8421053,586.1065418,173.8401683
66,41:32.8,19,355756.06,18724.002,594.4210526,174.5789474,594.4130093,174.5870209
67,48:29.6,16,256763.89,16047.744,372.75,353.8125,372.7492049,353.7983141
67,48:29.6,70,1.04E+06,14853.678,388.0857143,277.6571429,387.9165068,277.8674852
67,48:29.6,37,670937.4,18133.443,550.3783784,87.64864865,550.3788783,87.65474896
67,48:29.6,34,615973.9,18116.879,576.2352941,83.11764706,576.2267945,83.12473168
68,50:01.6,61,984099,16132.771,373.0819672,354.0655738,373.0544649,354.0458827
68,50:01.6,32,452339.94,14135.623,390.875,275.34375,390.8392996,275.4191487
68,50:01.6,29,526508.6,18155.473,574.2413793,83.03448276,574.2430791,83.0440778
69,51:34.2,17,286962.5,16880.146,207.1176471,153.7058824,207.1303358,153.7105595
69,51:34.2,19,350131.75,18427.988,308.4736842,337.6315789,308.4824771,337.6232128
69,51:34.2,59,970372.4,16446.99,369.1186441,356.559322,369.0386125,356.6127086
69,51:34.2,19,283094.66,14899.721,384.5789474,279.1052632,384.5835502,279.1230337
