filter2_file,counts_under_contours,qs_mean_counts
2024-07-10T14:26:04.199,10271.137454134914,4320.3853
2024-07-10T14:27:35.759,10129.341236240474,4410.2354
2024-07-10T14:27:53.703,10134.269263336157,4403.2744
2024-07-10T14:29:25.260,10016.518204911092,4324.4067
2024-07-10T14:29:43.207,10020.200959638723,4327.0083
2024-07-10T14:31:14.766,10043.235675980808,4358.6855
2024-07-10T14:31:32.712,10042.475867908552,4364.086
2024-07-10T14:33:04.269,10263.759525825571,4363.8735
2024-07-10T14:33:22.215,10321.123341800734,4363.9053
2024-07-10T14:34:53.773,10250.666666666666,4372.0073
2024-07-10T14:35:11.720,10219.925486875529,4365.476
2024-07-10T14:36:43.279,10095.278577476714,4349.319
2024-07-10T14:37:01.225,10100.78690375388,4356.6284
2024-07-10T14:38:32.782,10157.696867061812,4388.944
2024-07-10T14:38:50.728,10148.051933389783,4374.344
2024-07-10T14:40:22.287,10340.846740050805,4357.391
2024-07-10T14:40:40.235,10355.407281964437,4363.7466
2024-07-10T14:42:11.792,10214.342647473892,4366.07
2024-07-10T14:42:29.738,10190.331357606548,4365.5186
2024-07-10T14:44:01.295,10066.1755574372,4398.901
2024-07-10T14:44:19.245,10100.572396274343,4398.318
2024-07-10T14:45:50.800,10078.655376799323,4345.6714
2024-07-10T14:46:08.744,9988.203217612194,4343.196
2024-07-10T14:47:40.304,9920.032740615297,4359.2783
2024-07-10T14:47:58.256,9988.243861134632,4357.845
2024-07-10T14:49:29.808,10066.150719729043,4358.184
2024-07-10T14:49:47.753,10089.746542478126,4359.176
2024-07-10T14:51:19.313,9868.287891617274,4342.6084
2024-07-10T14:51:37.259,9840.366920688683,4334.8247
2024-07-10T14:53:08.817,9894.600056449337,4324.574
2024-07-10T14:53:26.761,9944.382726502963,4340.607
2024-07-10T14:54:58.322,9864.226926333615,4355.1
2024-07-10T14:55:16.266,9861.84476432402,4345.709
2024-07-10T14:56:47.825,9902.152977702512,4306.4644
2024-07-10T14:57:05.769,9883.1927744849,4314.273
2024-07-10T14:58:37.326,9957.774767146486,4351.141
2024-07-10T14:58:55.274,9946.093141405589,4346.767
2024-07-10T15:00:26.829,10077.19898391194,4324.0234
2024-07-10T15:00:44.775,10123.499858876658,4323.42
2024-07-10T15:02:16.333,10179.62856336438,4317.26
2024-07-10T15:02:34.279,10211.604854642957,4331.2153
2024-07-10T15:04:05.839,10349.84476432402,4356.6616
2024-07-10T15:04:23.785,10269.112051933389,4350.9575
2024-07-10T15:05:55.343,10021.369460908834,4312.202
2024-07-10T15:06:13.290,9965.189952018063,4321.427
2024-07-10T15:07:44.847,9894.938752469658,4345.7705
2024-07-10T15:08:02.793,9883.533728478691,4345.2666
2024-07-10T15:09:34.385,9890.107818233137,4337.481
2024-07-10T15:09:52.331,9853.88879480666,4345.444
2024-07-10T15:11:23.890,9947.67710979396,4350.7266
2024-07-10T15:11:41.836,9971.395992097094,4338.0303
2024-07-10T15:13:13.393,10056.11289867344,4325.3296
2024-07-10T15:14:29.541,9920.593847022297,4343.161
2024-07-10T15:16:06.791,9660.547558566186,4310.9272
2024-07-10T15:17:44.590,9710.62376517076,4328.363
2024-07-10T15:19:21.188,9611.577758961332,4323.7056
2024-07-10T15:20:58.373,9661.774767146486,4355.679
2024-07-10T15:22:35.557,9591.478408128705,4324.899
2024-07-10T15:24:12.741,9735.911939034717,4325.4243
2024-07-10T15:25:49.926,9905.678803274062,4362.177
2024-07-10T15:27:27.110,10452.206604572397,4315.4395
2024-07-10T15:29:04.296,11319.565340107254,4355.1406
2024-07-10T15:30:41.510,14439.860005644934,4328.136
2024-07-10T15:32:18.949,16841.4044594976,4328.604
2024-07-10T15:33:56.385,16840.701100762068,4337.53
2024-07-10T15:35:28.135,17080.39514535704,4344.9756
2024-07-10T15:35:46.113,16599.207451312446,4337.9004
2024-07-10T15:37:17.862,14435.455828394017,4321.207
2024-07-10T15:37:35.840,14097.257691222128,4325.8687
2024-07-10T15:39:07.592,12900.369178662151,4334.7827
2024-07-10T15:39:25.570,12796.094834885691,4330.293
2024-07-10T15:40:57.320,12252.795935647757,4308.3057
2024-07-10T15:41:15.297,12132.535139712109,4307.887
2024-07-10T15:42:47.473,11646.312164832063,4323.9326
2024-07-10T15:43:05.254,11549.562517640417,4330.679
2024-07-10T15:44:36.777,11133.508326277166,4334.072
2024-07-10T15:44:54.753,11071.79791137454,4327.7715
2024-07-10T15:46:26.504,10980.668360146768,4301.6226
2024-07-10T15:46:44.482,10965.069150437483,4312.8926
2024-07-10T15:48:16.233,10743.077617837991,4324.9307
2024-07-10T15:48:34.209,10754.89020604008,4321.5396
