time,mode,thresh_area,thresho_tot,exposure,shutter_angle
2024-11-01 01:05:59.316540,3035,93891,332497776.2032666,2000,180.966796875
2024-11-01 01:07:28.564825,3023,93053,329756453.357973,2000,180.791015625
2024-11-01 01:08:57.813985,3027,93375,330810421.8429072,2000,180.791015625
2024-11-01 01:10:27.932700,3041,92484,327971418.0417725,2000,180.791015625
2024-11-01 01:11:56.341555,3032,91348,323981758.741939,2000,180.791015625
2024-11-01 01:13:25.590715,3033,91020,322594328.6131891,2000,180.791015625
2024-11-01 01:14:54.870865,3015,91395,323852062.9162588,2000,180.791015625
2024-11-01 01:16:24.118150,3020,89687,317761052.1913092,2000,180.791015625
2024-11-01 01:17:53.367435,3024,89476,317307545.0323396,2000,180.966796875
2024-11-01 01:19:22.615720,3021,90841,322005197.3633913,2000,180.87890625
2024-11-01 01:20:51.862880,3043,90811,321897018.4765867,2000,180.966796875
2024-11-01 01:22:21.112165,3027,90379,320522407.5054277,2000,180.791015625
2024-11-01 01:23:50.328450,3030,91586,324454173.1027019,2000,180.791015625
2024-11-01 01:25:19.543610,3030,89533,317537733.5326015,2000,180.791015625
2024-11-01 01:26:48.792885,3011,88160,312858969.3495964,2000,180.791015625
2024-11-01 01:28:18.917000,3040,87540,311087013.5912783,2000,180.791015625
2024-11-01 01:29:47.224330,3021,84780,301672312.61216456,2000,180.791015625
2024-11-01 01:31:16.313615,2999,83638,297787055.797576,2000,180.966796875
2024-11-01 01:32:45.402900,3024,85574,304502278.53010356,2000,180.791015625
2024-11-01 01:34:14.488060,3021,83104,295849798.429795,2000,180.966796875
2024-11-01 01:35:43.576345,3023,84735,301944095.73896545,2000,180.87890625
2024-11-01 01:37:12.664620,3043,85139,303164304.6510805,2000,180.791015625
2024-11-01 01:38:41.752780,3013,84991,301929030.1275581,2000,180.87890625
2024-11-01 01:40:10.841065,3036,86846,308842169.82341975,2000,180.791015625
2024-11-01 01:41:39.929350,3034,86503,307385191.94565076,2000,180.966796875
2024-11-01 01:43:09.175100,3017,90051,319241317.48503554,2000,180.87890625
2024-11-01 01:44:38.105795,3013,88826,315163095.0883609,2000,180.966796875
2024-11-01 01:46:07.193945,3051,89462,317827744.2250237,2000,180.87890625
2024-11-01 01:47:36.283230,3023,89764,318536457.23278886,2000,180.87890625
2024-11-01 01:49:05.370515,3003,86688,308132835.554044,2000,180.791015625
2024-11-01 01:50:34.458675,3048,86590,308098453.30939287,2000,180.791015625
2024-11-01 01:52:03.548085,3044,87674,311494262.4366299,2000,180.966796875
2024-11-01 01:53:32.635245,3028,87459,310784539.63489354,2000,180.791015625
2024-11-01 01:55:01.723530,2999,82496,293699746.2205112,2000,180.791015625
2024-11-01 01:56:30.812805,3014,86145,306475789.2428304,2000,180.791015625
2024-11-01 01:57:59.899965,3000,84484,300449246.9060235,2000,180.966796875
2024-11-01 01:59:28.988250,3015,84854,301620312.8997985,2000,180.87890625
2024-11-01 02:00:57.917410,3049,86999,309125670.0017593,2000,180.791015625
2024-11-01 02:02:26.749695,3015,82359,293129086.09621537,2000,180.966796875
2024-11-01 02:03:55.581845,2998,86311,306699763.1396063,2000,180.791015625
2024-11-01 02:05:24.414255,3024,88343,313565770.9495393,2000,180.791015625
2024-11-01 02:06:53.246415,3009,83765,298043758.6268738,2000,180.966796875
2024-11-01 02:08:22.787000,3013,89516,317583457.04871905,2000,180.791015625
2024-11-01 02:09:50.908860,3005,92121,326279868.23241687,2000,180.966796875
2024-11-01 02:11:19.708145,3023,89225,316891407.59185755,2000,180.791015625
2024-11-01 02:12:48.509295,3008,90792,322482542.3855028,2000,180.791015625
2024-11-01 02:15:45.132865,3075,112358,400061017.1366028,1500,180.791015625
2024-11-01 02:17:19.451500,3040,92912,331906281.74835575,2000,180.791015625
2024-11-01 02:18:55.714455,3018,92785,330736901.2074709,2000,180.87890625
2024-11-01 02:20:32.417625,3038,86639,309203065.0569917,2000,180.966796875
2024-11-01 02:22:09.121920,3020,90683,322817018.18642044,2000,180.87890625
2024-11-01 02:23:45.827215,3032,85100,303640625.6088556,2000,180.966796875
2024-11-01 02:25:22.530510,3011,88868,316541884.6847676,2000,180.87890625
2024-11-01 02:26:59.234815,3038,86381,308162929.6821439,2000,180.87890625
2024-11-01 02:28:35.939985,3024,88431,314738323.3501308,2000,180.966796875
2024-11-01 02:30:12.643280,3015,88737,315913481.78064394,2000,180.87890625
2024-11-01 02:31:49.348575,3021,92233,327770496.0,2000,180.966796875
2024-11-01 02:33:26.567450,3033,95161,337911456.0,2000,180.87890625
2024-11-01 02:35:02.756050,3034,100453,355279680.0,2000,180.87890625
2024-11-01 02:36:39.461345,3059,99075,350703104.0,2000,180.87890625
2024-11-01 02:38:16.165515,3041,99014,350142944.0,2000,180.87890625
2024-11-01 02:39:52.868810,3053,103364,364940608.0,2000,180.791015625
2024-11-01 02:41:29.574115,3044,104827,369581440.0,2000,180.87890625
2024-11-01 02:43:06.246410,3054,102212,361371904.0,2000,180.87890625
2024-11-01 02:44:42.915705,3056,103054,363449632.0,2000,180.87890625
2024-11-01 02:46:19.364875,3032,100895,356276608.0,2000,180.87890625
2024-11-01 02:47:55.750170,3059,99640,352301344.0,2000,180.87890625
2024-11-01 02:49:32.133465,3033,99245,350574080.0,2000,180.87890625
2024-11-01 02:51:08.581770,3027,96410,341031872.0,2000,180.966796875
2024-11-01 02:52:44.998940,3052,97972,346348736.0,2000,180.87890625
2024-11-01 02:54:21.446235,3016,95888,339414528.0,2000,180.966796875
2024-11-01 02:55:57.894405,3057,97419,344413536.0,2000,180.87890625
2024-11-01 02:57:34.343700,3041,97217,343881024.0,2000,180.966796875
2024-11-01 02:59:10.790995,3042,95262,337237632.0,2000,180.87890625
