image_index,image datetime,area_px,intensity_sum,mean_intensity,centroid_row,centroid_col,w_centroid_row,w_centroid_col,peak_intensity,peak thresh
65,2024-06-02 08:30:46.977860,1630.0,6245900.0380859375,3831.840514163152,417.08343558282206,205.46380368098158,418.36993658770973,205.51998014959076,8184.9775390625,3011.08496307112
66,2024-06-02 08:32:14.786135,1184.0,3437992.3017578125,2903.709714322477,417.9974662162162,205.8268581081081,418.53455468065283,205.9488522004191,5395.09375,1984.7440738175412
67,2024-06-02 08:33:42.596295,885.0,1779096.173828125,2010.2781625176553,415.96158192090394,207.39774011299434,416.2044647783712,207.54777709772424,3285.5302734375,1208.6790409440437
68,2024-06-02 08:35:10.434580,569.0,1045034.06640625,1836.6152309424428,411.3550087873462,269.0017574692443,411.4495481543083,268.78550442907397,3255.98828125,1197.811149367015
70,2024-06-02 08:38:06.510150,1217.0,2654875.43359375,2181.491728507601,416.5595727198028,204.8077239112572,416.95332880282217,203.16149858319844,4138.72265625,1522.5509779448375
73,2024-06-02 08:42:29.475610,1675.0,4718982.7646484375,2817.303143073694,419.2089552238806,206.42865671641792,419.25744732288354,204.1832473567486,5932.83984375,2182.569806278417
74,2024-06-02 08:43:57.283760,534.0,1015923.1669921875,1902.4778408093398,410.0468164794008,144.8183520599251,409.89614599424675,144.15116818353528,3296.158203125,1212.5888377782906
74,2024-06-02 08:43:57.283760,1862.0,4968872.37890625,2668.567335610231,418.83512352309344,211.640708915145,419.2094884164209,210.25161865470847,5092.6142578125,1873.468087265782
75,2024-06-02 08:45:25.920450,3170.0,9987840.32421875,3150.7382726242113,416.3675078864353,227.501261829653,417.90026506099696,220.43334145787398,7081.150390625,2605.0096485540657
76,2024-06-02 08:46:52.900205,4166.0,20883709.288085938,5012.89229190733,414.94263082093136,229.76884301488238,417.4081965241602,225.61520741934436,16859.1298828125,6202.127279925827
77,2024-06-02 08:59:07.620130,8290.0,24957925.712890625,3010.606237984394,397.31917973462004,224.89975874547648,402.23934288713684,227.1551768037999,7845.5625,2886.221148175624
78,2024-06-02 09:00:35.427290,7814.0,21023262.322265625,2690.4610087363226,397.28640900947016,223.85577169183517,402.5254706609522,227.0259069174208,7001.7939453125,2575.816043799151
79,2024-06-02 09:02:03.491575,7593.0,19575932.119140625,2578.155158585622,397.97207954695114,222.40326616620573,402.47790194700724,227.21263074024608,6982.259765625,2568.629820691971
80,2024-06-02 09:03:31.555725,7534.0,19890905.482421875,2640.1520417337238,397.3911600743297,226.00663658083354,402.6555676776701,231.7866718649758,7526.7421875,2768.9337097790194
81,2024-06-02 09:04:59.621010,6454.0,14644674.5703125,2269.084996949566,395.143476913542,226.47660365664703,399.0841890507745,235.06508086874712,6766.533203125,2489.268453433635
