Date,QS_mode,AR_mode,AR mean,Ar_sigma,ARmode_200G,ARmean200G,AR_sigma200G
2024-10-08 23:51:20.668550,5672,6472,8356.052200246373,2338.5345323064275,8280,9256.372741824835,2954.9527719077914
2024-10-08 23:52:57.656720,5461,6405,8369.41814425597,2349.1301768301187,10356,9294.964859667598,2963.911324728043
2024-10-08 23:54:34.649015,5613,6377,8348.676305015353,2364.092959325508,7527,9284.505218488359,2978.5190340711965
2024-10-08 23:56:11.641320,5573,6347,8350.520675507738,2352.1402748768555,7720,9283.184350468473,2982.14328325098
2024-10-08 23:57:48.633615,5638,6385,8343.102203760609,2348.600078076476,7348,9257.132530120482,2974.428221805229
2024-10-08 23:59:25.593910,5587,6267,8335.399869243309,2353.0797043709736,10352,9263.569405229207,2978.111751659749
2024-10-09 00:01:02.554080,5620,6442,8319.002616448912,2348.728683996904,8108,9264.356470073464,2978.478868392922
2024-10-09 00:02:39.513260,5498,6195,8338.709089367476,2364.663341161457,6922,9285.428805653057,2960.35497514229
2024-10-09 00:04:16.473555,5656,6391,8341.804635958395,2370.28064532994,8387,9252.460797862539,2975.4335497759093
2024-10-09 00:05:53.434850,5583,6182,8320.991559857153,2364.0412444138406,7761,9246.917975244782,2986.2298892927415
2024-10-09 00:07:30.394145,5564,6292,8319.041020765064,2340.758037008014,7245,9241.040697674418,2959.5240700071145
2024-10-09 00:09:07.354450,5613,7303,8317.929808460374,2336.8055360421113,9914,9232.092354120114,2963.9202498472355
2024-10-09 00:10:44.319620,5582,7103,8325.323527910577,2338.7636638261242,6934,9244.108626929949,2957.183892154561
2024-10-09 00:12:21.407790,5536,6458,8328.978095717197,2340.536810359991,7641,9240.145529763273,2963.383588716638
2024-10-09 00:13:58.496085,5491,7502,8323.026942643732,2346.021265800863,11026,9226.204623189404,2972.2856675889707
2024-10-09 00:15:35.583390,5507,6483,8330.351068984572,2343.4925570460227,7808,9230.688519332967,2963.9681044721992
2024-10-09 00:17:12.672685,5606,6579,8318.408318254798,2336.1037001133345,8256,9222.349589581327,2967.2590945989077
2024-10-09 00:18:49.760980,5662,6345,8320.910574064192,2349.3501199261946,10519,9253.979538638985,2977.3091988924675
2024-10-09 00:20:26.848285,5575,7296,8325.610769100314,2355.704125673636,7566,9237.113641077643,2990.0095840839112
2024-10-09 00:22:03.937330,5641,6241,8320.742266906085,2354.7082460417814,7282,9238.266420237958,2997.8851940226436
2024-10-09 00:23:41.256250,5588,6479,8333.13532656814,2352.2391399591916,8191,9254.997869235936,2988.5822577730914
2024-10-09 00:25:18.113920,5534,6334,8333.447861596855,2353.9410279782505,7641,9259.994721434663,2992.621942983499
2024-10-09 00:26:55.200225,5472,6413,8339.742340009647,2361.418349315646,7947,9273.836251643712,2995.321571434583
2024-10-09 00:28:32.288520,5549,6439,8356.868139755454,2358.707643509676,7546,9272.714933585028,2995.638533097253
2024-10-09 00:30:09.376690,5556,7258,8340.356595730227,2360.892382599716,7516,9270.261009840297,2989.3266241325973
2024-10-09 00:31:46.496985,5686,6446,8363.339119063186,2364.239846117138,8345,9283.712247762362,2985.832873510688
2024-10-09 00:33:23.585165,5603,6267,8362.468158026451,2369.02214055595,8215,9298.490156661583,3002.463004882959
