date_time,Mean,Std,diff_count,Diff_error,Img_count,area,median,thresh_val
2024-07-10 04:26:07.764220,1.0673039948728904,222.42147666432163,1937365.1352539062,4072.9443243779338,35115116.07421875,1581,2.0,817.4188287620459
2024-07-10 04:27:39.474515,-3.14871288186285,217.07263019308942,1359812.0278320312,3601.323883398266,27298879.454101562,1228,0.0,815.4188287620459
2024-07-10 04:29:11.217675,-6.232717368083743,227.88915709450126,1944984.193359375,3980.2600840178497,33629924.86621094,1519,-5.0,840.0704225352114
2024-07-10 04:30:42.930960,12.242504272591326,241.699930259148,2776879.9965820312,4389.4845058725205,41312028.451171875,1829,10.0,869.896219421794
2024-07-10 04:32:14.643130,6.99170850245674,256.7991087004998,3975834.8022460938,5167.888726397631,57389982.57910156,2612,1.0,883.1349147516679
2024-07-10 04:33:46.354415,14.314112903225807,259.63993200453484,4606980.6298828125,5838.123651191499,72774356.16308594,3269,5.0,887.1349147516679
2024-07-10 04:35:18.675750,9.169760734885708,238.32935653955073,2504084.1840820312,4529.134607970836,43530204.77832031,1887,5.0,879.7220163083766
2024-07-10 04:36:49.779860,5.0360286263618885,226.49509581554352,1538832.9594726562,3717.7059570067763,29181508.125,1350,5.0,857.4833209785027
2024-07-10 04:38:21.491030,3.893705938901944,239.45050897984615,2690979.3217773438,4961.665621689463,51927230.8046875,2206,0.0,882.1349147516679
2024-07-10 04:39:53.204315,2.50647030549028,241.8099033957608,3279222.9921875,5456.781688683286,62832155.78808594,2608,0.0,859.896219421794
2024-07-10 04:41:24.916350,1.786925870540483,249.9047010008515,4333846.9599609375,5880.765286215945,73500647.66308594,3190,-2.0,850.4833209785027
2024-07-10 04:42:56.627645,-2.974217581713309,239.20584234937667,2426275.0805664062,4746.52111910722,47485200.548828125,2049,-2.0,865.3091178650852
2024-07-10 04:44:28.340805,-10.791430784020509,242.5826939343505,1880306.3430175781,3524.7966513646825,26728689.209960938,1324,-5.0,862.3091178650852
2024-07-10 04:46:00.180090,-19.15662251655629,239.6902151549314,1015135.671875,2974.5283300269325,18710773.244140625,857,-10.0,872.1349147516679
2024-07-10 04:47:32.148260,-8.854830698568682,289.439771870014,3585360.37109375,4528.893402334286,44607111.27050781,1732,-8.0,896.3736100815419
2024-07-10 04:49:04.120545,3.6115653706472974,314.23091771127434,5859758.4150390625,5911.560621770133,75752856.38476562,2902,-2.0,909.7865085248333
2024-07-10 04:50:36.847050,3.0447447126682334,271.63791670682923,4404694.918457031,5743.741523537509,70385828.296875,2766,0.0,904.3736100815419
2024-07-10 04:52:08.530000,-1.863423947874386,254.069133713194,2489399.9721679688,4749.906783753308,47612628.880859375,1967,-3.0,908.7865085248333
2024-07-10 04:53:40.211600,5.5533299508652,267.3422229393826,3730849.4682617188,5534.979791890018,65002852.06152344,2935,2.0,913.7865085248333
2024-07-10 04:55:12.214550,6.556921597949156,265.61253155907764,2688044.7626953125,4735.279468317198,47533788.048828125,2045,6.0,947.4381022979985
2024-07-10 04:56:43.988615,5.670171971800897,251.94525630754197,1411297.3486328125,3613.2501947989767,27522451.2890625,1132,8.0,934.612305411416
2024-07-10 04:58:15.989900,4.692747276223029,249.76801653686928,1290361.6872558594,3330.323657352199,23472473.012695312,1066,6.0,932.612305411416
2024-07-10 04:59:47.990070,1.2862075411236915,258.8218170541952,1185116.0678710938,3034.2076461236006,19597948.147460938,947,5.0,939.0252038547072
2024-07-10 05:01:19.989355,10.836111407818843,265.60246411767105,1867978.1176757812,4034.211143766552,34417697.22265625,1475,13.0,991.5025945144553
2024-07-10 05:02:51.990515,5.574201559495834,265.26534617840304,2116480.7255859375,4214.767075588501,37645003.728515625,1587,6.0,947.4381022979985
2024-07-10 05:04:23.990685,-5.995826212347789,267.75744245083723,1312830.0981445312,3362.113330426394,23920442.19140625,1042,1.0,972.0896960711638
2024-07-10 05:05:55.989970,-10.674575411236916,277.3924141422414,2269745.005859375,4106.057800510462,35989166.328125,1624,-3.0,960.6767976278725
2024-07-10 05:07:27.991255,-24.79531617175817,276.3673985851198,1804103.4565429688,3663.1857818720805,28641963.6015625,1466,-15.0,948.6767976278725
2024-07-10 05:08:59.991550,-25.221744819483018,272.5012539023809,1696314.5063476562,3645.3076216547406,28272849.819335938,1420,-13.0,935.8510007412899
2024-07-10 05:10:31.990710,-31.123074663533433,278.1843946376585,1391128.8461914062,3512.8833561444867,26071827.793945312,1148,-17.0,946.6767976278725
2024-07-10 05:12:03.991880,-37.492693868831445,270.69214341014776,733209.7109375,2493.1094689601478,13164399.359375,635,-19.0,929.8510007412899
2024-07-10 05:13:35.992165,-24.52704283272805,264.8231941135585,406627.9091796875,1946.9272086197939,7987679.0205078125,362,-10.0,938.8510007412899
2024-07-10 05:15:07.991325,-36.86005661183508,269.19832564195286,641535.5805664062,2448.9335579073845,12636086.72265625,558,-20.0,936.2638991845812
2024-07-10 05:16:40.247620,-31.66623050630207,266.0149496347108,653139.7729492188,2272.8995650625056,10985284.638671875,568,-12.0,936.8510007412899
2024-07-10 05:18:12.533780,-31.68847201452681,266.15556481560924,356316.76953125,1701.2099640540773,6144547.453125,307,-17.0,939.2638991845812
2024-07-10 05:19:44.792950,-22.226140247810296,282.7524987810974,695331.6264648438,2314.8308009361917,11412214.900390625,581,-8.0,1000.1541882876205
2024-07-10 05:21:17.462350,-26.854131061738943,280.69652995224294,1086426.7133789062,3075.4956494832236,20003773.693359375,893,-15.0,970.9154929577466
2024-07-10 05:22:49.302395,-16.96403546250801,280.6982258131625,1105533.2651367188,3066.1332898813057,19907879.967773438,815,-6.0,1009.5670867309118
2024-07-10 05:24:21.559690,-8.278313928647725,286.5005394527692,1935889.0966796875,3761.0348092547324,30226654.76953125,1210,0.0,1008.1541882876205
2024-07-10 05:25:53.814975,-16.911292992950223,279.979839453735,1062096.796875,3043.052327639142,19582431.734375,824,-9.0,999.1541882876205
2024-07-10 05:27:26.711450,-16.27016396069216,282.00105861130874,719087.0639648438,2368.033928447668,11934256.436523438,554,-4.0,1018.9799851742031
2024-07-10 05:28:58.327305,-10.972407071138646,280.26087079407694,1185056.609375,3108.8086888496673,20514439.537109375,969,-3.0,990.3283914010378
2024-07-10 05:30:30.583590,-8.712734992522964,294.421146878939,2660121.2377929688,4424.179798163113,41806855.01074219,1805,-8.0,1007.5670867309118
2024-07-10 05:32:02.839760,-10.577948088015381,296.020217195016,3464707.8408203125,4934.888851886003,52170963.80175781,2368,-10.0,975.9154929577466
2024-07-10 05:33:35.960450,-4.991056932279427,296.43310981566174,2975618.45703125,4732.389374965786,47766636.849609375,2143,-7.0,1008.5670867309118
2024-07-10 05:35:07.352340,-10.82732589190344,323.59070452360965,5612505.6025390625,6056.025268219776,78963389.70117188,3166,-14.0,1001.5670867309118
2024-07-10 05:36:39.608500,-3.9929822687459944,362.5905441715146,7525124.619628906,6360.609009515035,88439818.56347656,3396,-12.0,1025.8057820607858
2024-07-10 05:38:11.864670,3.416545609912412,358.37651371403956,7230863.196777344,6307.079122956396,86789357.32324219,3283,-3.0,1019.9799851742031
2024-07-10 05:39:44.124955,6.972420422986541,360.9981725866057,7184355.0595703125,6240.957330167596,85083451.85351562,3265,-7.0,1023.3928836174944
2024-07-10 05:41:16.377240,6.135737556077761,369.7402062124923,7448377.75390625,6246.8718735141,85495194.16210938,3222,-6.0,1031.8057820607858
2024-07-10 05:48:12.569105,14.036989959410382,330.21336529485353,4557192.697753906,4995.779499768053,54472818.318359375,2120,9.0,1091.2831727205337
2024-07-10 05:49:45.135400,16.49786370433668,363.5416656266227,7276624.255371094,6039.867842222516,80236631.35839844,3155,3.0,1055.6315789473686
2024-07-10 05:51:17.657685,21.202373958555864,386.4665872027822,8154986.3017578125,6291.268229502449,87315098.17285156,3362,4.0,1064.0444773906597
2024-07-10 05:52:50.201855,48.31305810724204,465.0474102216471,12571334.984863281,7441.241101169376,123315473.23632812,4473,17.0,1121.5218680504076
2024-07-10 05:54:21.338015,49.56743217261269,527.0381208862822,15738867.895019531,8069.62269255177,145976488.6953125,5227,11.0,1085.8702742772425
2024-07-10 05:54:40.218045,53.14636028626362,559.3780024872048,17699483.318359375,8409.818082175914,159149563.6689453,5643,9.0,1113.5218680504076
2024-07-10 05:54:59.982100,52.556745353556934,528.9969052147386,17405013.341308594,8637.661519567164,166623406.39453125,6045,7.0,1126.3476649369904
2024-07-10 05:55:19.386240,54.98197767571032,525.0499929945515,17456515.13720703,8638.036621708576,166687868.49316406,6050,9.0,1150.5863602668644
2024-07-10 05:55:39.674280,57.684445097201454,529.247793604599,17722256.68408203,8652.600874043483,167457260.45507812,6087,12.0,1146.173461823573
2024-07-10 05:55:59.962320,66.45661183507798,559.4501290216971,19382563.431152344,8832.263799528571,175400331.08007812,6302,17.0,1128.934766493699
2024-07-10 05:56:20.250350,72.7679288613544,578.4816055086276,20908138.313476562,9054.189933616586,184864849.02148438,6641,19.0,1138.3476649369904
2024-07-10 05:56:40.539390,69.1302766502884,521.8088149780672,18756182.39111328,8942.59529417825,178696203.58203125,6607,21.0,1147.7605633802818
2024-07-10 05:57:00.827420,69.56193655201879,518.7374461522893,18511292.107910156,8907.430759380299,177195937.57421875,6576,20.0,1168.9992587101556
2024-07-10 05:57:21.119585,66.78241294595172,483.3740919915124,16590174.764160156,8601.519062518046,164562435.1298828,6164,22.0,1141.3476649369904
2024-07-10 05:57:41.402625,58.999887844477676,457.1793623865925,15779850.887695312,8601.533393371506,163752604.32226562,6222,17.0,1099.2831727205337
2024-07-10 05:58:01.690655,56.19371929074984,444.4918143822681,15277873.922851562,8597.99135719605,163128784.6796875,6260,17.0,1106.696071163825
2024-07-10 05:58:21.978695,57.42119205298013,443.4242096342464,15505571.834472656,8759.0541252017,168947630.17089844,6513,18.0,1137.3476649369904
2024-07-10 05:58:42.266725,59.22158993804742,445.90567949810446,16033102.908691406,8917.129873338086,175063513.26464844,6742,21.0,1140.3476649369904
