filter2_file,total_counts_under_contours,qs_mean_counts,contour_area
2024-06-01T08:19:12.559,110416097.06933376,3838.923776805072,9899
2024-06-01T08:19:38.287,110510738.02723956,3853.632890306543,9899
2024-06-01T08:20:37.205,111664524.49795157,3821.174615058289,9899
2024-06-01T08:21:02.960,111704508.54930317,3828.0108199795245,9899
2024-06-01T08:22:01.873,111136167.28651561,3860.3562747422648,9899
2024-06-01T08:22:27.601,110794913.611322,3870.5451745763203,9899
2024-06-01T08:23:26.512,110584778.83460802,3858.277684151218,9899
2024-06-01T08:23:52.240,110451081.18743736,3845.636127788173,9899
2024-06-01T08:24:51.152,111249305.60422213,3816.9163207269767,9899
2024-06-01T08:25:16.881,111297392.67233779,3813.087879392701,9899
2024-06-01T08:26:15.793,110973804.87375592,3835.9331232180266,9899
2024-06-01T08:26:41.521,111015100.06722894,3848.166935761332,9899
2024-06-01T08:27:40.433,112562938.1191333,3844.472015640419,9899
2024-06-01T08:28:06.161,111869530.5200395,3847.937976788913,9899
2024-06-01T08:29:05.727,111880027.35825317,3844.491525088941,9899
2024-06-01T08:29:30.801,111939682.7080219,3837.7895498503995,9899
2024-06-01T08:30:29.714,112430215.5204296,3783.6719001466968,9899
2024-06-01T08:30:55.410,112273764.82148243,3818.6304389026523,9899
2024-06-01T08:31:54.992,112827894.00535925,3846.928448235799,9899
2024-06-01T08:32:19.794,113456934.80772214,3849.005372474133,9899
2024-06-01T08:33:18.482,113011984.19299413,3788.7340709553055,9899
2024-06-01T08:33:44.178,113424024.11186959,3805.9754368798626,9899
2024-06-01T08:34:42.867,113745810.28220844,3831.7510388244655,9899
2024-06-01T08:35:08.561,113848835.38812622,3821.5178602935766,9899
2024-06-01T08:36:07.284,114676321.66725394,3778.9469065701132,9899
2024-06-01T08:36:32.980,114952316.12112749,3809.411708395884,9899
2024-06-01T08:37:31.667,115249261.38688298,3886.523493288139,9899
2024-06-01T08:37:57.361,116060454.85369344,3903.351006110566,9899
2024-06-01T08:38:56.512,117242280.47979783,3850.3576779364535,9899
2024-06-01T08:39:21.745,117121246.00496538,3833.9489349762616,9899
2024-06-01T08:40:20.435,118600073.04000396,3809.940369878787,9899
2024-06-01T08:40:46.129,118311414.9126506,3834.206971624989,9899
2024-06-01T08:41:44.821,121242004.91604228,3879.2285780050365,9899
