Date,img_mode,QS_mode,QS_median,QS_mean,QS_std,AR_mode,AR mean,Ar_sigma,ARmode_200G,ARmean200G,AR_sigma200G
2024-07-10 05:30:30.583590,5252,5185,5203.0,5310.9331454606,612.6205918190384,5482,6821.180975212947,1898.5286183097855,6149,7524.571446365239,2062.1204356557864
2024-07-10 05:32:02.839760,5338,5109,5200.0,5297.383005069392,604.994125282831,5415,6803.141163863969,1899.471504478062,5668,7521.082307520876,2069.4964316346764
2024-07-10 05:33:35.960450,5220,5195,5195.0,5289.928894045498,601.2131673240365,5518,6818.527187933345,1900.9340510342759,5914,7561.213363890944,2067.164931273639
2024-07-10 05:35:07.352340,5371,5163,5185.0,5269.930490217264,581.2138970374799,5371,6820.693749347239,1925.6633216318817,5884,7583.890704401014,2107.8359667785276
2024-07-10 05:36:39.608500,5302,5244,5202.0,5290.216096793789,588.2853576967167,5312,6817.862134556055,1954.8712413283524,6019,7582.427879108875,2146.292967723116
2024-07-10 05:38:11.864670,5292,5276,5210.0,5277.549349668265,574.572454423051,5550,6840.748003283446,1951.2773074365025,6035,7595.280031774793,2129.750482624191
2024-07-10 05:39:44.124955,5232,5155,5189.0,5283.244828302122,583.0304780327815,5452,6840.736552690236,1961.8925396390198,5980,7577.606071295589,2155.913771634204
2024-07-10 05:41:16.377240,5318,5126,5201.0,5294.929084179935,605.6093921404807,5417,6832.998717322731,1971.9756891772442,5528,7572.798575307962,2170.886900993063
2024-07-10 05:48:12.569105,5230,5230,5209.0,5296.846784571221,592.3812403938084,5412,6843.031890156559,1917.7268998775896,5915,7546.34167174316,2092.141290214355
2024-07-10 05:49:45.135400,5187,5110,5205.0,5302.23787278449,600.7065037349673,5513,6855.233463323613,1954.2773924781745,5506,7563.485589712313,2137.2619180777674
2024-07-10 05:51:17.657685,5260,5318,5206.0,5291.827986541409,602.6301528988631,5459,6854.442666728501,1969.5921146560183,5653,7580.775774132427,2165.0836368509254
2024-07-10 05:52:50.201855,5283,5247,5184.0,5267.0662541615375,570.4072984622611,5407,6904.6132972822,2048.7791553236566,6162,7649.685985493086,2262.545008130953
2024-07-10 05:54:21.338015,5269,5230,5182.0,5249.510831899883,533.8348559566931,5469,6913.0235287745845,2087.198308307488,5927,7695.456986758637,2314.4902919182286
2024-07-10 05:54:40.218045,5166,5166,5179.0,5246.832740480962,535.9746527233622,5463,6916.0805879469335,2110.1773753384246,6104,7712.564888938265,2347.604850426523
2024-07-10 05:54:59.982100,5248,5192,5187.0,5265.8828657314625,562.8652679461201,5444,6907.397809866793,2097.4999473838025,6025,7692.601406324539,2330.112524581684
2024-07-10 05:55:19.386240,5311,5189,5194.0,5270.531614195201,562.3023540813147,5457,6921.515975516271,2101.6551492639624,6009,7690.9674745690645,2333.6956015960045
2024-07-10 05:55:39.674280,5241,5225,5196.0,5266.52622205443,556.6715689600338,5459,6926.964352282411,2102.387959652468,5833,7700.753344454257,2332.9247301246687
2024-07-10 05:55:59.962320,5306,5179,5203.0,5271.624868892488,558.1672905294926,5467,6920.076470996018,2127.526427167694,5829,7708.318633831415,2366.4219969129276
2024-07-10 05:56:20.250350,5237,5240,5203.0,5268.020566048818,553.2616558118558,5534,6931.052146317792,2144.4288422368545,6164,7725.75523246733,2385.588844473123
2024-07-10 05:56:40.539390,5283,5210,5204.0,5275.88674438545,569.401037129709,5449,6934.9429600953645,2108.972938299735,5970,7705.2489350770975,2330.42796720662
2024-07-10 05:57:00.827420,5315,5296,5203.0,5279.431751475778,575.9779139138477,5415,6933.882732324037,2106.3926946987913,6115,7701.843900186646,2326.291736972966
2024-07-10 05:57:21.119585,5263,5258,5202.0,5283.950705734921,583.7036735509564,5304,6927.161148408591,2081.3288702734903,6018,7687.7484440744765,2292.27912935214
2024-07-10 05:57:41.402625,5232,5232,5201.0,5287.276167452158,584.930114721795,5432,6925.465082936815,2065.7045573573128,6029,7680.258069352105,2267.551224167912
2024-07-10 05:58:01.690655,5280,5214,5207.0,5298.4974970086205,596.6777079463457,5345,6917.077205853628,2055.9175217337734,5999,7663.778588189284,2255.3785457644817
2024-07-10 05:58:21.978695,5241,5241,5207.0,5297.090395573677,599.396185039399,5296,6907.488387782163,2051.32578994322,6030,7661.7886500374,2252.944464958402
2024-07-10 05:58:42.266725,5214,5214,5214.0,5306.057859783481,606.8729863620154,5532,6905.575004458781,2052.660606335532,5992,7655.621386061335,2255.994180713246
2024-07-10 05:59:02.554765,5248,5270,5227.0,5318.078066190786,607.2546341473814,5544,6913.491702243387,2048.5982988916435,5861,7632.204980396724,2246.1248587461423
2024-07-10 05:59:22.842805,5290,5176,5235.0,5325.580945814406,610.9988174171481,5453,6913.086491541806,2043.9805082279736,5961,7629.138089877463,2239.6402193238655
2024-07-10 05:59:43.134960,5289,5298,5241.0,5332.229830113804,614.8387894610609,5429,6903.03888782911,2037.5777635123175,5917,7615.357831162218,2233.8239946372064
2024-07-10 06:00:03.415855,5253,5258,5239.0,5333.239734675806,621.2469598280413,5460,6900.446519015677,2038.3598673678664,5460,7611.2211830375845,2234.2867915567003
2024-07-10 06:00:23.703980,5323,5271,5226.0,5321.809843566132,627.5891155896841,5319,6891.35726944153,2027.477040385192,5957,7607.866235195133,2225.8507178768573
2024-07-10 06:00:43.992105,5314,5399,5395.0,5752.882310245557,1240.5313352387052,5237,6646.428445974428,2033.277481468949,5240,7046.845479545113,2246.1455452790665
2024-07-10 06:01:04.280230,5325,5342,5389.0,5750.043606618877,1244.4956506719286,5247,6642.92424632726,2025.9899686556028,5247,7042.801408294305,2234.646844226575
2024-07-10 06:01:24.569355,5323,5323,5376.0,5736.2242156133225,1225.5488224937421,5305,6645.798661406887,2021.2658003607555,5273,7057.007777799712,2238.5144757997714
2024-07-10 06:01:44.857480,5260,5260,5381.0,5738.606486062162,1226.9363811706212,5265,6645.706285228699,2021.1098856203203,5265,7056.674733995302,2239.008443253861
2024-07-10 06:02:05.145730,5313,5313,5386.0,5741.20804426893,1226.2902076533821,5350,6644.252705909816,2016.2507802847647,5350,7058.534820802735,2230.374022312395
2024-07-10 06:02:25.432855,5249,5249,5389.0,5740.822021165672,1223.5374197197625,5225,6645.408500953196,2017.112851907491,5225,7060.3994222190195,2231.225646838565
2024-07-10 06:02:45.720980,5303,5303,5399.0,5770.624829217236,1260.9095509736092,5256,6651.500831782774,2023.5335335745674,5203,7064.174244849689,2238.3182221242896
2024-07-10 06:03:06.910500,5321,5326,5406.0,5774.2162449364405,1260.0206154886491,5258,6654.160344854773,2022.8477166413463,5349,7065.917222588844,2236.643995277656
2024-07-10 06:03:26.297230,5299,5290,5414.0,5761.307430396038,1236.8875120718128,5303,6651.715736238845,2018.6356512113712,5256,7056.373034716486,2225.528621645116
2024-07-10 06:03:46.585355,5325,5262,5423.0,5763.0853738005635,1234.459959315105,5325,6655.408349442524,2022.4083596600876,5175,7060.6169347756795,2230.976349794898
2024-07-10 06:04:06.873480,5355,5382,5426.0,5766.373694671163,1234.8410685192043,5222,6651.580036318904,2011.0531820100168,5284,7053.527167584937,2216.5409758587252
