# Date  Box_count   Full_image_count     Error
2024-06-01T08:16:23.344 -32246.587352047587 -850241.1660477115 157.86613190689624
2024-06-01T08:16:49.719 1820679.8448834636 1554115.1433955682 155.51809133792162
2024-06-01T08:17:47.951 2615302.786202759 3201454.887630516 152.27886284800636
2024-06-01T08:18:13.679 2677586.823001987 3700808.7239728244 112.49987491010764
2024-06-01T08:19:12.559 960074.5800506473 1311611.466316871 110.19430837341416
2024-06-01T08:19:38.287 349640.3074993073 958180.990040496 122.73929116330278
2024-06-01T08:20:37.205 -569262.4385265002 -4073366.4268388595 111.90364245475406
2024-06-01T08:21:02.960 -1321319.2997741636 -5290194.090519879 112.55998862418942
2024-06-01T08:22:01.873 -1922443.1995918672 -6062255.220433617 137.6972259169438
2024-06-01T08:22:27.601 -2198439.138319239 -6024764.401472426 133.70314346785358
2024-06-01T08:23:26.512 -270209.0590532153 -3488753.46764328 121.65504448090745
2024-06-01T08:23:52.240 99698.59499557823 -1733767.8220755078 144.69651120105
2024-06-01T08:24:51.152 -469673.4715217244 -568354.3637333994 137.3254579930274
2024-06-01T08:25:16.881 247082.23208915335 1629044.976786485 138.43779586418935
2024-06-01T08:26:15.793 2068131.8845924921 1124508.9255651208 136.38720381797873
2024-06-01T08:26:41.521 2135000.6327682054 1478097.4192559132 143.41792976691974
2024-06-01T08:27:40.433 583309.0817651901 177572.88248438493 138.44489693496894
2024-06-01T08:28:06.161 1821420.2167746343 1231459.2444674985 136.85881052181534
2024-06-01T08:29:05.727 -274861.4632227598 -3347029.9092752226 151.19955498988773
2024-06-01T08:29:30.801 228112.77456970536 -4737491.559167303 148.58660165065933
2024-06-01T08:30:29.714 2029903.89458834 18085.255602549354 130.23641773439638
2024-06-01T08:30:55.410 3212623.3504031817 1675476.5161329636 123.22872774485025
2024-06-01T08:31:54.992 4197506.3588379845 3973563.027302744 151.95861990162558
2024-06-01T08:32:19.794 2738224.966577828 1695264.3348439755 158.07768179495102
2024-06-01T08:33:18.482 4106056.6562026287 5934053.188372938 137.10308610085968
2024-06-01T08:33:44.178 4543165.300471731 6391112.592674214 123.78043005432053
2024-06-01T08:34:42.867 4683452.104439101 5273785.46036521 123.00866389451002
2024-06-01T08:35:08.561 4980584.869285315 4921122.71948833 127.4170696429303
2024-06-01T08:36:07.284 7431823.980348212 9282879.104780084 134.958146376262
2024-06-01T08:36:32.980 7407497.220076304 9341703.083013128 143.85983387234833
2024-06-01T08:37:31.667 10468774.756707247 12425110.191963471 144.55359123216584
2024-06-01T08:37:57.361 9981789.938693611 13628343.893134082 139.97590767145456
2024-06-01T08:38:56.512 8960689.62569744 12993905.659219293 154.45646286584363
2024-06-01T08:39:21.745 11466596.148857102 15304454.826915957 141.96445782437868
2024-06-01T08:40:20.435 9356679.092930298 8310073.655837239 133.28183561087098
2024-06-01T08:40:46.129 11395226.28379075 9746877.164244566 137.58328390551875
2024-06-01T08:41:44.821 12439682.378565049 10854742.554356007 149.96259960100153
2024-06-01T08:41:59.812 14592370.484221559 12274136.709685013 141.13934586555453
2024-06-01T08:42:14.798 20185987.755258583 17685647.062184703 158.9158236247592
2024-06-01T08:42:29.784 30416646.069865897 28945460.80223916 156.68003961249497
2024-06-01T08:42:46.180 46153000.797311805 45631574.96975815 167.60506392762179
2024-06-01T08:43:02.576 60521083.77196388 60536963.22015817 168.91574487565308
2024-06-01T08:43:18.972 80467866.36583307 85882433.20413758 164.7281289329963
2024-06-01T08:43:35.368 106091050.10494085 131663660.72919928 143.69574477602703
2024-06-01T08:43:51.764 165138007.64513582 192654840.5061606 170.23600901700362
2024-06-01T08:44:08.160 138425178.07087827 200752375.00434077 160.37386071672094
2024-06-01T08:44:24.556 80468332.75348434 103779405.89767957 161.22601369457436
2024-06-01T08:44:40.952 40777784.800095096 49547531.913715154 156.5240530822001
2024-06-01T08:44:57.347 24969130.746161763 44868375.07474631 147.26126492009942
2024-06-01T08:45:03.449 -23367479.849180967 -38274531.55088359 198.70398888570807
2024-06-01T08:46:29.783 -79737487.33874351 -77596770.15328929 217.48967580622056
2024-06-01T08:47:56.559 -84554691.72690226 -138248695.37320417 200.4619285207599
2024-06-01T08:49:22.904 -50750825.12103129 -67208221.3303317 193.2428318685898
2024-06-01T08:50:53.836 -33852605.74477079 -34528564.18753295 170.81293844323534
2024-06-01T08:52:20.152 -49730413.75620737 -70589965.5524111 150.36073601367008
2024-06-01T08:53:51.114 -34682065.89703624 -41440939.76283718 189.5318204149236
2024-06-01T08:55:17.431 -49619433.71859238 -71594387.11330862 217.19067283517742
2024-06-01T08:56:48.362 -23667331.852685288 -22855696.05243204 173.88409173562113
2024-06-01T08:58:19.275 -25083517.543475494 -23435646.847816035 150.4632542900102
2024-06-01T08:59:50.191 -22112335.02276229 -22205219.573211215 167.1198313093964
2024-06-01T09:01:21.131 -15557440.40808696 -11363965.006894799 157.08734560274127
2024-06-01T09:02:52.437 -13490020.158267824 -8108032.252635388 137.20132873508126
2024-06-01T09:04:22.956 -6000030.665886734 -5946654.240000416 166.5218304062523
2024-06-01T09:05:53.867 -18449005.066659264 -20461460.656839956 155.47427304257045
