Time,xrsa,xrsb,xrsa_quality,xrsb_quality,xrsa_primary_chan,xrsb_primary_chan
2024-10-09 01:33:38.612128,5.717523e-07,5.757245e-06,0,0,1,1
2024-10-09 01:33:39.612133,5.803818e-07,5.757888e-06,0,0,1,1
2024-10-09 01:33:40.612139,5.6635884e-07,5.807408e-06,0,0,1,1
2024-10-09 01:33:41.612137,5.825553e-07,5.8061373e-06,0,0,1,1
2024-10-09 01:33:42.612139,5.825392e-07,5.8376345e-06,0,0,1,1
2024-10-09 01:33:43.612146,5.8577524e-07,5.863359e-06,0,0,1,1
2024-10-09 01:33:44.612144,5.9656213e-07,5.880723e-06,0,0,1,1
2024-10-09 01:33:45.612148,6.051755e-07,5.8826367e-06,0,0,1,1
2024-10-09 01:33:47.612158,6.148837e-07,5.911577e-06,0,0,1,1
2024-10-09 01:33:48.612159,6.192146e-07,5.964328e-06,0,0,1,1
2024-10-09 01:33:49.612160,6.2459185e-07,5.975888e-06,0,0,1,1
2024-10-09 01:33:50.612161,6.24608e-07,6.0132047e-06,0,0,1,1
2024-10-09 01:33:51.612164,6.2351313e-07,6.0061147e-06,0,0,1,1
2024-10-09 01:33:52.612172,6.526377e-07,6.0164043e-06,0,0,1,1
2024-10-09 01:33:53.612171,6.3214264e-07,6.041486e-06,0,0,1,1
2024-10-09 01:33:54.612172,6.461818e-07,6.0569364e-06,0,0,1,1
2024-10-09 01:33:55.612174,6.386148e-07,6.08779e-06,0,0,1,1
2024-10-09 01:33:56.612182,6.580473e-07,6.095523e-06,0,0,1,1
2024-10-09 01:33:57.612184,6.6451946e-07,6.112244e-06,0,0,1,1
2024-10-09 01:33:58.612186,6.515752e-07,6.1341098e-06,0,0,1,1
2024-10-09 01:33:59.612190,6.559061e-07,6.143772e-06,0,0,1,1
2024-10-09 01:34:00.612194,6.720864e-07,6.1527758e-06,0,0,1,1
2024-10-09 01:34:02.612198,6.7744753e-07,6.1849e-06,0,0,1,1
2024-10-09 01:34:03.612195,6.8284095e-07,6.2054796e-06,0,0,1,1
2024-10-09 01:34:04.612200,6.9362784e-07,6.230561e-06,0,0,1,1
2024-10-09 01:34:05.612207,6.720703e-07,6.2550153e-06,0,0,1,1
2024-10-09 01:34:06.612209,6.796211e-07,6.269807e-06,0,0,1,1
2024-10-09 01:34:07.612210,6.83952e-07,6.2711088e-06,0,0,1,1
2024-10-09 01:34:08.612215,6.8391967e-07,6.309664e-06,0,0,1,1
2024-10-09 01:34:09.612219,6.979426e-07,6.307735e-06,0,0,1,1
2024-10-09 01:34:10.612220,7.0980815e-07,6.3398907e-06,0,0,1,1
