Time,Total,Area,extra,Exposure,Meas_exposure
2024-07-10 06:01:04.280230,2407250432.0,2407250432.0,378831,2000,1929.7000000000003
2024-07-10 06:01:24.569355,2406588928.0,2406588928.0,378831,2000,1927.0
2024-07-10 06:01:44.857480,2406856704.0,2406856704.0,378831,2000,1932.4
2024-07-10 06:02:05.145730,2407246080.0,2407246336.0,378831,2000,1932.4
2024-07-10 06:02:25.432855,2407496704.0,2407496448.0,378831,2000,1929.7000000000003
2024-07-10 06:02:45.720980,2409734144.0,2409734144.0,378831,2000,1929.7000000000003
2024-07-10 06:03:06.910500,2410858752.0,2410859008.0,378831,2000,1929.7000000000003
2024-07-10 06:03:26.297230,2410753280.0,2410753536.0,378831,2000,1929.7000000000003
2024-07-10 06:03:46.585355,2411917312.0,2411917312.0,378831,2000,1929.7000000000003
2024-07-10 06:04:06.873480,2411340544.0,2411340800.0,378831,2000,1929.7000000000003
2024-07-10 06:04:27.161730,2410443008.0,2410443008.0,378831,2000,1929.7000000000003
2024-07-10 06:04:47.449855,2408961024.0,2408961024.0,378831,2000,1929.7000000000003
2024-07-10 06:05:07.737980,2406536448.0,2406536704.0,378831,2000,1929.7000000000003
2024-07-10 06:05:28.261050,2403312896.0,2403312640.0,378831,2000,1927.0
2024-07-10 06:05:48.314230,2402029056.0,2402029056.0,378831,2000,1929.7000000000003
2024-07-10 06:06:08.603355,2401717248.0,2401717248.0,378831,2000,1929.7000000000003
2024-07-10 06:06:28.891480,2401324544.0,2401324544.0,378831,2000,1929.7000000000003
2024-07-10 06:06:49.179730,2401325056.0,2401325056.0,378831,2000,1929.7000000000003
2024-07-10 06:07:09.464855,2400610816.0,2400610816.0,378831,2000,1929.7000000000003
2024-07-10 06:07:29.754980,2401861632.0,2401861632.0,378831,2000,1929.7000000000003
2024-07-10 06:07:46.649105,2404217856.0,2404217856.0,378831,2000,1929.7000000000003
2024-07-10 06:09:19.195730,2404778496.0,2404778496.0,378831,2000,1929.7000000000003
2024-07-10 06:10:51.738355,2406200832.0,2406200832.0,378831,2000,1932.4
2024-07-10 06:12:24.282695,2405348608.0,2405348352.0,378831,2000,1929.7000000000003
2024-07-10 06:13:56.826980,2404845568.0,2404845568.0,378831,2000,1929.7000000000003
