Time,Total,Area,Exposure,Meas_exposure
2024-11-01 01:06:42.486745,1928055226.258987,1928055226.258987,340896,2000,1918.9
2024-11-01 01:08:11.735780,1927834072.5814383,1927834072.581438,340896,2000,1924.3000000000002
2024-11-01 01:09:40.984065,1928464577.151981,1928464577.1519814,340896,2000,1924.3000000000002
2024-11-01 01:11:10.263340,1926330826.4597898,1926330826.4597898,340896,2000,1924.3000000000002
2024-11-01 01:12:39.511625,1925126739.333386,1925126739.333386,340896,2000,1924.3000000000002
2024-11-01 01:14:08.792785,1924155679.8442078,1924155679.8442078,340896,2000,1924.3000000000002
2024-11-01 01:15:38.440700,1923563610.7343712,1923563610.7343712,340896,2000,1924.3000000000002
2024-11-01 01:17:07.288355,1926037720.5103421,1926037720.5103421,340896,2000,1924.3000000000002
2024-11-01 01:18:36.537640,1922877158.7644727,1922877158.764473,340896,2000,1921.6000000000004
2024-11-01 01:20:05.784800,1922969318.786686,1922969318.786686,340896,2000,1924.3000000000002
2024-11-01 01:21:35.350850,1925794711.00071,1925794711.0007102,340896,2000,1918.9
2024-11-01 01:23:04.280370,1923411002.9039264,1923411002.9039264,340896,2000,1924.3000000000002
2024-11-01 01:24:33.495520,1924849307.4735703,1924849307.4735703,340896,2000,1918.9
2024-11-01 01:26:02.743805,1923987327.6035128,1923987327.6035128,340896,2000,1924.3000000000002
2024-11-01 01:27:31.960965,1926962455.6157248,1926962455.6157246,340896,2000,1924.3000000000002
2024-11-01 01:29:01.176250,1925419212.5751758,1925419212.575176,340896,2000,1924.3000000000002
2024-11-01 01:30:30.361535,1926280492.211047,1926280492.211047,340896,2000,1918.9
2024-11-01 01:31:59.449695,1923565091.3281054,1923565091.3281054,340896,2000,1924.3000000000002
2024-11-01 01:33:28.538980,1923727058.255207,1923727058.2552073,340896,2000,1921.6000000000004
2024-11-01 01:34:57.626255,1925123345.9308257,1925123345.9308257,340896,2000,1924.3000000000002
2024-11-01 01:36:26.714540,1923933610.7271461,1923933610.7271466,340896,2000,1924.3000000000002
2024-11-01 01:37:55.803700,1926032463.330177,1926032463.330177,340896,2000,1924.3000000000002
2024-11-01 01:39:24.890985,1923905537.5160122,1923905537.5160127,340896,2000,1924.3000000000002
2024-11-01 01:40:53.979270,1926096579.3145359,1926096579.314536,340896,2000,1921.6000000000004
2024-11-01 01:42:23.684300,1926374883.9906993,1926374883.9906995,340896,2000,1924.3000000000002
2024-11-01 01:43:52.155705,1924694407.5848622,1924694407.5848622,340896,2000,1921.6000000000004
2024-11-01 01:45:21.243990,1928308638.7508101,1928308638.7508101,340896,2000,1924.3000000000002
2024-11-01 01:46:50.333150,1928102583.2345953,1928102583.2345953,340896,2000,1924.3000000000002
2024-11-01 01:48:19.420435,1925994169.0024023,1925994169.0024023,340896,2000,1918.9
2024-11-01 01:49:48.508595,1925532168.7096367,1925532168.7096367,340896,2000,1924.3000000000002
2024-11-01 01:51:17.596880,1926811451.171047,1926811451.171047,340896,2000,1924.3000000000002
2024-11-01 01:52:46.685165,1925226424.9279537,1925226424.9279537,340896,2000,1924.3000000000002
2024-11-01 01:54:15.773315,1925535583.5665467,1925535583.566547,340896,2000,1924.3000000000002
2024-11-01 01:55:44.861600,1928304095.7640407,1928304095.7640407,340896,2000,1924.3000000000002
2024-11-01 01:57:13.947760,1926813521.529891,1926813521.529891,340896,2000,1924.3000000000002
