filter2_file,total_counts_under_contours,qs_mean_counts,contour_area,QS_area
2024-10-09T00:04:25.400,155177178.07032245,4426.617246433282,17566,16728
2024-10-09T00:06:02.361,155693827.03470403,4432.734050769674,17566,16728
2024-10-09T00:07:39.320,155128156.30925864,4469.589887098368,17566,16728
2024-10-09T00:09:16.280,155255048.23322213,4433.517602483448,17566,16728
2024-10-09T00:10:53.277,154867854.99737656,4498.239486012054,17566,16728
2024-10-09T00:12:30.366,156080146.23311087,4435.401849109761,17566,16728
2024-10-09T00:14:07.454,155403316.8398898,4454.606866572442,17566,16728
2024-10-09T00:15:44.541,155310470.18409488,4455.308429506678,17566,16728
2024-10-09T00:17:21.631,155523339.07888612,4430.85497690147,17566,16728
2024-10-09T00:18:58.719,155295428.06381035,4438.276120437083,17566,16728
2024-10-09T00:20:35.807,155515307.92826003,4442.826032506302,17566,16728
2024-10-09T00:22:12.895,156074652.41116545,4435.01033660199,17566,16728
2024-10-09T00:23:49.984,155483573.67523277,4421.861848044852,17566,16728
2024-10-09T00:25:27.719,155949706.68315032,4426.205500824026,17566,16728
2024-10-09T00:27:04.158,156516615.46616164,4430.54216747509,17566,16728
2024-10-09T00:28:41.246,155771033.08500314,4433.213695281715,17566,16728
2024-10-09T00:30:18.335,155468808.18942848,4412.503907910535,17566,16728
2024-10-09T00:31:55.455,155887196.30268902,4436.9980889476055,17566,16728
2024-10-09T00:33:32.543,156065069.17317212,4411.520719366083,17566,16728
2024-10-09T00:35:09.631,156706960.88567805,4437.47563926288,17566,16728
2024-10-09T00:36:46.720,156810251.79141906,4426.326802333651,17566,16728
2024-10-09T00:38:23.808,156820404.11818504,4433.56491127009,17566,16728
2024-10-09T00:40:00.896,157229802.21341944,4436.162056190605,17566,16728
2024-10-09T00:41:37.920,156938097.69298995,4414.65326141929,17566,16728
2024-10-09T00:43:14.944,156804280.61982623,4440.359754587109,17566,16728
2024-10-09T00:44:51.936,156831810.4613026,4398.643668562873,17566,16728
2024-10-09T00:46:28.992,157285871.21693784,4430.666544013083,17566,16728
2024-10-09T00:48:06.176,157062197.8262798,4426.797593161959,17566,16728
2024-10-09T00:49:43.408,157162023.36701772,4426.9369457390985,17566,16728
2024-10-09T00:51:20.971,157112901.74838117,4414.176592872129,17566,16728
2024-10-09T00:52:57.154,157574135.04652974,4440.871266381427,17566,16728
2024-10-09T00:54:34.178,156493948.35075134,4425.408533956348,17566,16728
2024-10-09T00:56:11.234,156391098.50466773,4403.939753569135,17566,16728
2024-10-09T00:57:48.291,156215433.51610154,4408.928770176833,17566,16728
2024-10-09T01:04:49.249,156080402.19819593,4430.3878364449,17566,16728
2024-10-09T01:06:26.305,156894991.59757224,4432.007775149498,17566,16728
2024-10-09T01:08:03.330,157086526.25128326,4413.711139721072,17566,16728
2024-10-09T01:09:40.354,157750559.21942404,4422.615259504485,17566,16728
2024-10-09T01:11:17.410,157882282.59185126,4436.369200992393,17566,16728
2024-10-09T01:12:54.433,157713007.68653494,4429.378116064597,17566,16728
2024-10-09T01:14:31.426,157780169.8522241,4416.50465812575,17566,16728
2024-10-09T01:16:08.419,158060370.90655816,4443.360079761683,17566,16728
2024-10-09T01:17:45.410,158806756.35667786,4419.849254595657,17566,16728
2024-10-09T01:19:22.435,158489454.34742877,4437.680900698108,17566,16728
2024-10-09T01:20:59.396,158576837.48567522,4441.544140928267,17566,16728
2024-10-09T01:22:36.387,158906617.12402424,4441.798100355008,17566,16728
2024-10-09T01:24:13.347,159031086.35583648,4453.086188101814,17566,16728
2024-10-09T01:25:50.373,159773809.17207405,4445.81239310031,17566,16728
2024-10-09T01:27:27.364,159356543.93240884,4415.384793642155,17566,16728
2024-10-09T01:29:04.388,160687373.9552364,4444.695784760688,17566,16728
2024-10-09T01:30:41.413,162148906.09804618,4464.992124401178,17566,16728
2024-10-09T01:32:18.469,168613091.29947755,4406.595762252128,17566,16728
2024-10-09T01:39:27.230,266395108.7265306,4482.359257427824,17566,16728
2024-10-09T01:40:54.525,299909953.2480975,4487.909501144762,17566,16728
2024-10-09T01:41:11.919,326985181.357779,5010.986806514279,17566,16728
2024-10-09T01:42:39.221,361100822.002866,4972.149800539486,17566,16728
2024-10-09T01:42:54.909,378397219.72985214,4902.459161531943,17566,16728
2024-10-09T01:44:12.323,392080370.72737354,4930.796030827331,17566,16728
2024-10-09T01:44:28.135,397316088.1482268,5003.265542355267,17566,16728
2024-10-09T01:45:55.254,410439160.91588295,4987.644336353684,17566,16728
2024-10-09T01:46:10.940,417591942.8338956,4923.041776664,17566,16728
2024-10-09T01:47:28.356,449799306.4527813,4933.874497939739,17566,16728
2024-10-09T01:47:44.460,432669484.3142125,5003.722316192875,17566,16728
2024-10-09T01:49:11.286,446351227.31304383,4993.769371889939,17566,16728
2024-10-09T01:49:26.972,464985203.6678617,4923.381074256047,17566,16728
2024-10-09T01:50:44.389,418968965.8515745,4949.580744861393,17566,16728
2024-10-09T01:51:00.786,405436104.7374761,5029.756637469603,17566,16728
2024-10-09T01:52:27.319,402520270.9580636,5019.513841679504,17566,16728
2024-10-09T01:52:43.487,401492349.66373074,4941.902090822103,17566,16728
2024-10-09T01:54:00.421,394547745.8576792,4935.859304892942,17566,16728
2024-10-09T01:54:16.111,395442046.5938359,5009.355874759926,17566,16728
2024-10-09T01:55:43.351,384736311.40066713,5020.617750278838,17566,16728
2024-10-09T01:56:00.727,355641895.4077327,4473.9597309265455,17566,16728
2024-10-09T01:57:28.305,336614147.6690657,4476.2805175235035,17566,16728
