Wavelength,Transmission,Interpolated_Intensity,Expected_Counts
3.893461517000000072e+02,0.000000000000000000e+00,1.823167135778192763e-08,0.000000000000000000e+00
3.893548863999999980e+02,0.000000000000000000e+00,1.823544695580489235e-08,0.000000000000000000e+00
3.893636210999999889e+02,0.000000000000000000e+00,1.823922255382785376e-08,0.000000000000000000e+00
3.893723458000000051e+02,6.399999999999999387e-12,1.824299382932341174e-08,1.167551605076698293e-19
3.893810804999999959e+02,1.848000000000000042e-11,1.824676942734637316e-08,3.372002990173609915e-19
3.893898151999999868e+02,1.488000000000000122e-11,1.825054502536933788e-08,2.715681099774957478e-19
3.893985498999999777e+02,1.488000000000000122e-11,1.825432062339229929e-08,2.716242908760774141e-19
3.894072846999999911e+02,6.800000000000000106e-12,1.825809626464054645e-08,1.241550545995557120e-19
3.894160094000000072e+02,7.950000000000000658e-12,1.826186754013610443e-08,1.451818469440820466e-19
3.894247141000000170e+02,3.899999999999999942e-12,1.826563017057682247e-08,7.123595766524960536e-20
3.894334488000000079e+02,6.399999999999999387e-12,1.826940576859978719e-08,1.169241969190386348e-19
3.894421834999999987e+02,1.949999999999999971e-12,1.827318136662274860e-08,3.563270366491436204e-20
3.894509181999999896e+02,0.000000000000000000e+00,1.827695696464571332e-08,0.000000000000000000e+00
3.894596429000000057e+02,3.899999999999999942e-12,1.828072824014126800e-08,7.129484013655094010e-20
3.894683775999999966e+02,2.528000000000000214e-11,1.828450383816423272e-08,4.622322570287918654e-19
3.894771122999999875e+02,0.000000000000000000e+00,1.828827943618719744e-08,0.000000000000000000e+00
3.894858469999999784e+02,6.000000000000000283e-12,1.829205503421015885e-08,1.097523302052609492e-19
3.894945817999999917e+02,0.000000000000000000e+00,1.829583067545840601e-08,0.000000000000000000e+00
3.895032765000000268e+02,2.543999999999999823e-11,1.829958898337172061e-08,4.655415437369765695e-19
3.895120112000000177e+02,0.000000000000000000e+00,1.830336458139468203e-08,0.000000000000000000e+00
3.895207459000000085e+02,1.819999999999999919e-12,1.830714017941764675e-08,3.331899512654011463e-20
3.895294805999999994e+02,1.590000000000000132e-11,1.831091577744060816e-08,2.911435608613057038e-19
3.895382152999999903e+02,0.000000000000000000e+00,1.831469137546357289e-08,0.000000000000000000e+00
3.895469400000000064e+02,1.264000000000000107e-11,1.831846265095912756e-08,2.315453679081233957e-19
3.895556746999999973e+02,6.890000000000000732e-12,1.832223824898209228e-08,1.262402215354866208e-19
3.895643794000000071e+02,1.056000000000000024e-11,1.832600087942281031e-08,1.935225692867048768e-19
3.895731140999999980e+02,6.399999999999999387e-12,1.832977647744577503e-08,1.173105694556529469e-19
3.895818388000000141e+02,0.000000000000000000e+00,1.833354775294133302e-08,0.000000000000000000e+00
3.895905736000000275e+02,0.000000000000000000e+00,1.833732339418958018e-08,0.000000000000000000e+00
3.895993083000000183e+02,1.679999999999999950e-11,1.834109899221254159e-08,3.081304630691707006e-19
3.896080130000000281e+02,0.000000000000000000e+00,1.834486162265326293e-08,0.000000000000000000e+00
3.896167477000000190e+02,2.145000000000000089e-11,1.834863722067622434e-08,3.935782683835050419e-19
3.896254723999999783e+02,0.000000000000000000e+00,1.835240849617175586e-08,0.000000000000000000e+00
3.896342071000000260e+02,2.079999999999999861e-11,1.835618409419474374e-08,3.818086291592506239e-19
3.896429418000000169e+02,4.160000000000000046e-12,1.835995969221770846e-08,7.637743231962566440e-20
3.896516465000000267e+02,4.160000000000000046e-12,1.836372232265842649e-08,7.639308486225905520e-20
3.896603812000000175e+02,0.000000000000000000e+00,1.836749792068139121e-08,0.000000000000000000e+00
3.896691059999999993e+02,2.576000000000000010e-11,1.837126923940220516e-08,4.732438956070007678e-19
3.896778406999999902e+02,0.000000000000000000e+00,1.837504483742516989e-08,0.000000000000000000e+00
3.896865454000000000e+02,0.000000000000000000e+00,1.837880746786589123e-08,0.000000000000000000e+00
3.896952800999999909e+02,0.000000000000000000e+00,1.838258306588885264e-08,0.000000000000000000e+00
3.897040147999999817e+02,0.000000000000000000e+00,1.838635866391181405e-08,0.000000000000000000e+00
3.897127095000000168e+02,0.000000000000000000e+00,1.839011697182512865e-08,0.000000000000000000e+00
3.897214442000000076e+02,4.691999999999999798e-11,1.839389256984809338e-08,8.630414393772725222e-19
