filter2_file,counts_under_contours
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.02.03.142_0983NB04.fits,316156400.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.03.52.646_0983NB04.fits,311847700.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.05.42.151_0983NB04.fits,303415400.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.07.31.656_0983NB04.fits,304275970.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.09.16.529_0983NB04.fits,305843970.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.11.05.545_0983NB04.fits,294748000.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.12.55.499_0983NB04.fits,291246200.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.14.44.555_0983NB04.fits,292052300.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.16.34.587_0983NB04.fits,288260740.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.18.23.563_0983NB04.fits,285924400.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.20.13.672_0983NB04.fits,284431200.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.22.02.569_0983NB04.fits,280258300.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.23.52.738_0983NB04.fits,280388060.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.25.41.578_0983NB04.fits,280767680.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.27.31.816_0983NB04.fits,278745340.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.29.20.586_0983NB04.fits,279024000.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.31.10.902_0983NB04.fits,278458750.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.32.59.594_0983NB04.fits,276911170.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.34.49.987_0983NB04.fits,274281820.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.36.38.603_0983NB04.fits,271088960.0
