time,exposure,region_1,region_2,region_3,region_4,region_5,region_6,region_7,region_8,region_9,region_10
2024-06-02 07:45:30.622,2.9008049999999996,2.1272898e+07,2.617842e+06,1.7428684e+07,7.432235e+06,3.379667e+06,1.834585e+06,1.936843e+06,2.302469e+06,1.728917e+06,2.67491e+06
2024-06-02 07:45:42.622,2.900805,2.1272912e+07,2.620713e+06,1.7447952e+07,7.427988e+06,3.380089e+06,1.829597e+06,1.933522e+06,2.30178e+06,1.725525e+06,2.67721e+06
2024-06-02 07:45:54.622,2.900805,2.125494e+07,2.625782e+06,1.7436996e+07,7.431871e+06,3.38703e+06,1.829726e+06,1.935099e+06,2.298208e+06,1.727683e+06,2.676265e+06
2024-06-02 07:46:06.622,2.9008059999999998,2.124638e+07,2.625775e+06,1.7431096e+07,7.426776e+06,3.384227e+06,1.833192e+06,1.934611e+06,2.29543e+06,1.72809e+06,2.677931e+06
2024-06-02 07:46:18.622,2.900805,2.1262272e+07,2.633098e+06,1.7431906e+07,7.432963e+06,3.386504e+06,1.838762e+06,1.929581e+06,2.301267e+06,1.722475e+06,2.679046e+06
2024-06-02 07:46:30.622,2.9008079999999996,2.1247786e+07,2.630807e+06,1.743787e+07,7.430814e+06,3.383235e+06,1.841817e+06,1.929601e+06,2.298528e+06,1.725348e+06,2.671823e+06
2024-06-02 07:46:42.630,2.900805,2.1258684e+07,2.636599e+06,1.742828e+07,7.438783e+06,3.382462e+06,1.85404e+06,1.927204e+06,2.304203e+06,1.719663e+06,2.674409e+06
2024-06-02 07:46:54.630,2.9008059999999998,2.1258168e+07,2.642543e+06,1.7425196e+07,7.429415e+06,3.384387e+06,1.866139e+06,1.923863e+06,2.307275e+06,1.720837e+06,2.672247e+06
2024-06-02 07:47:06.622,2.900804,2.1241586e+07,2.638714e+06,1.7437032e+07,7.4365e+06,3.383392e+06,1.881081e+06,1.930063e+06,2.300772e+06,1.723058e+06,2.678635e+06
2024-06-02 07:47:18.622,2.9008019999999997,2.1258388e+07,2.635226e+06,1.7439576e+07,7.433807e+06,3.387421e+06,1.874864e+06,1.923996e+06,2.307042e+06,1.725604e+06,2.675445e+06
2024-06-02 07:47:30.615,2.900805,2.1271612e+07,2.63769e+06,1.7422508e+07,7.444384e+06,3.385037e+06,1.875143e+06,1.925582e+06,2.300798e+06,1.725663e+06,2.677126e+06
2024-06-02 07:47:42.622,2.900806,2.1274252e+07,2.634617e+06,1.743621e+07,7.444214e+06,3.384927e+06,1.871637e+06,1.926532e+06,2.303968e+06,1.722413e+06,2.67913e+06
2024-06-02 07:47:54.622,2.9008079999999996,2.1278476e+07,2.636865e+06,1.741976e+07,7.45943e+06,3.384002e+06,1.862168e+06,1.918215e+06,2.305769e+06,1.720827e+06,2.681319e+06
2024-06-02 07:48:06.622,2.9008079999999996,2.1280264e+07,2.643595e+06,1.7422388e+07,7.464904e+06,3.387252e+06,1.858491e+06,1.919439e+06,2.308891e+06,1.719323e+06,2.678923e+06
2024-06-02 07:48:18.622,2.9008079999999996,2.127758e+07,2.63613e+06,1.744522e+07,7.471316e+06,3.380548e+06,1.859543e+06,1.920836e+06,2.309371e+06,1.718646e+06,2.677963e+06
2024-06-02 07:48:30.616,2.900803,2.1308416e+07,2.645733e+06,1.7413028e+07,7.469395e+06,3.381056e+06,1.860363e+06,1.916944e+06,2.314576e+06,1.716916e+06,2.67962e+06
2024-06-02 07:48:42.622,2.9008059999999998,2.1308416e+07,2.645805e+06,1.7423314e+07,7.479362e+06,3.383829e+06,1.869041e+06,1.920506e+06,2.311813e+06,1.716306e+06,2.678894e+06
2024-06-02 07:48:54.622,2.900805,2.1318188e+07,2.651539e+06,1.742522e+07,7.472085e+06,3.386499e+06,1.878868e+06,1.918887e+06,2.312208e+06,1.714794e+06,2.680381e+06
2024-06-02 07:49:06.622,2.900804,2.1334164e+07,2.645662e+06,1.741338e+07,7.492659e+06,3.391585e+06,1.882232e+06,1.91189e+06,2.310201e+06,1.717721e+06,2.680586e+06
2024-06-02 07:49:18.615,2.9008049999999996,2.1327716e+07,2.641654e+06,1.742616e+07,7.491862e+06,3.392415e+06,1.866092e+06,1.913692e+06,2.310761e+06,1.717789e+06,2.682924e+06
2024-06-02 07:49:30.622,2.9008069999999995,2.1329584e+07,2.633308e+06,1.7422956e+07,7.487696e+06,3.400886e+06,1.869863e+06,1.916303e+06,2.317095e+06,1.717055e+06,2.683882e+06
2024-06-02 07:49:42.622,2.900807,2.1343944e+07,2.627948e+06,1.7395044e+07,7.485278e+06,3.406811e+06,1.872896e+06,1.913209e+06,2.318269e+06,1.714552e+06,2.683383e+06
2024-06-02 07:49:54.622,2.900802,2.1327934e+07,2.634021e+06,1.740822e+07,7.480698e+06,3.404017e+06,1.874774e+06,1.912599e+06,2.319285e+06,1.715047e+06,2.679859e+06
2024-06-02 07:50:06.615,2.900803,2.1342414e+07,2.636281e+06,1.7409888e+07,7.48709e+06,3.398754e+06,1.873197e+06,1.911413e+06,2.316021e+06,1.709228e+06,2.674796e+06
2024-06-02 07:50:18.622,2.900803,2.1331428e+07,2.634938e+06,1.7424106e+07,7.49208e+06,3.404872e+06,1.865063e+06,1.90848e+06,2.31623e+06,1.710442e+06,2.677727e+06
2024-06-02 07:50:30.631,2.900802,2.1307288e+07,2.638584e+06,1.7401564e+07,7.482351e+06,3.401702e+06,1.867714e+06,1.907839e+06,2.319326e+06,1.710285e+06,2.681837e+06
2024-06-02 07:50:42.622,2.900804,2.1331708e+07,2.627047e+06,1.7409576e+07,7.477695e+06,3.417177e+06,1.862755e+06,1.908563e+06,2.325673e+06,1.709007e+06,2.675699e+06
2024-06-02 07:50:54.622,2.900804,2.131377e+07,2.62356e+06,1.7417744e+07,7.485016e+06,3.422267e+06,1.863116e+06,1.908148e+06,2.327336e+06,1.705851e+06,2.679512e+06
2024-06-02 07:51:06.622,2.900805,2.131158e+07,2.621867e+06,1.742842e+07,7.481197e+06,3.421755e+06,1.860499e+06,1.907883e+06,2.33094e+06,1.703179e+06,2.680946e+06
