# Date,FullDiskIntensity,ROI_Intensity,OutsideROI_Intensity
2024-07-10 14:33:18.623000,52173016.86725889,7577539.094885699,44601686.346686654
2024-07-10 14:33:30.623000,52224476.59771624,7608743.434633147,44622043.08562935
2024-07-10 14:33:42.622000,52192230.56581412,7595019.216920405,44603564.01566587
2024-07-10 14:33:54.622000,52219682.02882694,7611601.373262609,44614366.44490248
2024-07-10 14:34:06.622000,52199170.7195325,7603275.34069583,44602150.834175624
2024-07-10 14:34:18.622000,52173789.06084369,7584869.4182727905,44595199.92057438
2024-07-10 14:34:30.630000,52174783.320337035,7585376.716838583,44595885.44780004
2024-07-10 14:34:42.622000,52192879.05535774,7575810.726817872,44623454.79196766
2024-07-10 14:34:54.623000,52128232.485585995,7515417.855265312,44619221.083657235
2024-07-10 14:35:06.622000,52109440.590176925,7516697.491230942,44599155.0679548
2024-07-10 14:35:18.623000,52147087.70981517,7515806.35453269,44637631.95805886
2024-07-10 14:35:30.622000,52156657.61061602,7520651.208295026,44642431.47548127
2024-07-10 14:35:42.623000,52142614.50269183,7512370.782538911,44636694.29442018
2024-07-10 14:35:54.630000,52116870.20071877,7496236.415502487,44627020.244240865
2024-07-10 14:36:06.623000,52124791.95595189,7497473.135256555,44633705.96257345
2024-07-10 14:36:18.623000,52138527.583378926,7503317.506790315,44641692.37488809
2024-07-10 14:36:30.630000,52117955.36857433,7500484.3448038595,44623874.717063345
2024-07-10 14:36:42.623000,52128137.29606671,7477389.543530015,44657197.63956887
2024-07-10 14:36:54.623000,52092681.2838977,7440009.266335794,44659097.09072218
2024-07-10 14:37:06.622000,52070279.317090824,7419732.662259874,44656890.367395476
2024-07-10 14:37:18.623000,52042960.19235907,7399221.945481027,44650290.865529634
2024-07-10 14:37:30.623000,52037582.411900066,7388459.489972681,44655428.71424509
2024-07-10 14:37:42.623000,52044453.54530056,7385521.227402127,44665322.222015396
2024-07-10 14:37:54.638000,52032502.4777434,7373965.682176623,44665037.01533185
2024-07-10 14:38:06.622000,52037414.15810043,7371106.239703367,44672656.45279777
2024-07-10 14:38:18.622000,52041163.4763088,7367775.501030052,44679657.91788816
2024-07-10 14:38:30.630000,52028658.054174244,7355501.969267365,44679659.062508084
2024-07-10 14:38:42.622000,52035268.611700885,7356714.973647134,44684979.40067353
2024-07-10 14:38:54.622000,52044868.61496298,7350603.362836434,44700844.759680435
2024-07-10 14:39:06.622000,52050722.139640324,7344251.150707523,44712939.49581222
2024-07-10 14:39:18.623000,52033815.25437109,7331099.712805443,44709122.00373618
2024-07-10 14:39:30.622000,52027059.89746362,7326703.033345008,44706717.81535178
2024-07-10 14:39:42.638000,52005533.602015704,7327417.770749887,44684642.944433354
2024-07-10 14:39:54.630000,51981199.81163959,7323770.98629285,44663930.43075376
2024-07-10 14:40:06.622000,51996703.00463007,7317804.636822033,44685547.51530859
2024-07-10 14:40:18.623000,51958826.8570678,7312527.513743512,44652773.368109666
2024-07-10 14:40:30.622000,51962199.66692189,7312304.34418394,44656411.40904593
2024-07-10 14:40:42.622000,51966555.68662952,7304233.076003974,44668737.344104536
2024-07-10 14:40:54.623000,51967937.386066854,7305031.949542613,44669393.24826325
2024-07-10 14:41:06.622000,51971677.01315212,7303428.267278539,44674762.75706489
2024-07-10 14:41:18.623000,51979811.232751004,7309217.631835952,44677158.638881885
2024-07-10 14:41:30.623000,51980885.41799531,7315220.306520013,44672146.03308993
2024-07-10 14:41:42.623000,52011038.24673205,7329730.907401106,44687872.37277145
2024-07-10 14:41:54.623000,51998553.51295374,7327001.562661054,44678060.452540845
2024-07-10 14:42:06.623000,51975248.39511008,7318891.679668729,44662736.28647329
2024-07-10 14:42:18.622000,52004452.52950628,7319722.713174848,44691184.53625058
2024-07-10 14:42:30.623000,52003101.18459323,7319207.936219568,44690339.68588958
2024-07-10 14:42:42.623000,51985324.16490079,7317450.254634633,44674469.27992504
2024-07-10 14:42:54.623000,51958839.25314962,7315355.440630276,44649981.28116789
2024-07-10 14:43:06.623000,51948170.5709035,7316051.341291765,44638570.502233334
2024-07-10 14:43:18.622000,51981489.39749533,7318917.659258197,44668913.38461072
2024-07-10 14:43:30.622000,51969971.259860575,7311412.8724247385,44665015.869645186
2024-07-10 14:43:42.622000,51985772.308676645,7315298.904931085,44676999.82970344
2024-07-10 14:43:54.622000,51981277.03113118,7323919.9095980385,44663902.85236392
2024-07-10 14:44:06.622000,51984804.2967161,7328624.320019857,44662885.66681145
2024-07-10 14:44:18.622000,51999205.741824724,7327967.264428679,44677698.03021215
2024-07-10 14:44:30.623000,51994305.06249608,7331866.622633171,44669035.19071491
2024-07-10 14:44:42.623000,51992591.06301285,7337643.377512781,44661543.74916619
2024-07-10 14:44:54.623000,52009284.27454454,7338905.322945003,44676943.9940927
2024-07-10 14:45:06.623000,52013148.00189327,7337049.75246663,44682657.7717136
2024-07-10 14:45:18.622000,52044819.03571438,7357406.747951701,44694055.92416768
2024-07-10 14:45:30.622000,52031469.700657256,7362372.458565192,44675692.61402457
2024-07-10 14:45:42.623000,52066237.73107228,7373039.522563244,44699817.70696878
2024-07-10 14:45:54.623000,52060199.467530414,7364216.982559776,44702544.07111361
2024-07-10 14:46:06.623000,52067081.62921984,7369750.112381861,44703935.15773449
2024-07-10 14:46:18.623000,52088827.23586624,7382395.748515421,44712995.144135006
2024-07-10 14:46:30.623000,52078537.68446483,7373926.856644871,44711320.64544419
2024-07-10 14:46:42.638000,52053096.67397724,7369966.168210253,44689652.79496639
2024-07-10 14:46:54.623000,52034951.48442459,7360498.286519576,44680931.36391388
2024-07-10 14:47:06.622000,52037465.242610544,7367990.176577536,44676040.10173668
2024-07-10 14:47:18.622000,52034366.82235822,7367687.285771855,44673289.38945216
2024-07-10 14:47:30.638000,52026318.05743338,7369296.01333691,44663599.49007557
2024-07-10 14:47:42.622000,52032258.44260696,7362291.102315137,44676572.36466078
2024-07-10 14:47:54.623000,52026472.49641653,7360717.755174222,44672416.30131045
2024-07-10 14:48:06.622000,52042403.16793074,7363838.0306816595,44684985.388619296
2024-07-10 14:48:18.623000,52058404.15523743,7368708.376008034,44696071.90516064
2024-07-10 14:48:30.622000,52055516.735101365,7367499.316572321,44694605.21321737
2024-07-10 14:48:42.622000,52063295.16254359,7372359.972449189,44697465.75281076
2024-07-10 14:48:54.622000,52073996.98223366,7384561.818878174,44696063.631640844
2024-07-10 14:49:06.623000,52078831.42128974,7392155.9502251595,44693310.82937497
2024-07-10 14:49:18.622000,52087102.23760791,7399187.33351696,44694378.591440156
2024-07-10 14:49:30.630000,52090064.15769881,7389496.973443037,44707050.86594451
2024-07-10 14:49:42.622000,52084850.43204995,7388292.008265244,44703025.556204416
2024-07-10 14:49:54.623000,52048569.698026866,7382352.7890897095,44672699.21170592
2024-07-10 14:50:06.622000,52088256.18064912,7381488.319886599,44713203.26472304
2024-07-10 14:50:18.623000,52080835.01848786,7383302.388081724,44703952.19010336
2024-07-10 14:50:30.622000,52101262.26203314,7389647.217480276,44718107.68250677
2024-07-10 14:50:42.623000,52111675.85486055,7395722.043116025,44722520.22184041
2024-07-10 14:50:54.623000,52133875.01831376,7403007.075573329,44737405.39329329
2024-07-10 14:51:06.622000,52117158.43498261,7399575.43098099,44724105.97816344
2024-07-10 14:51:18.623000,52090148.1785865,7399846.388474447,44696844.75859273
2024-07-10 14:51:30.623000,52091051.33884326,7397703.756689908,44699821.60247516
2024-07-10 14:51:42.624000,52098707.22805716,7391757.712730292,44713586.94659202
2024-07-10 14:51:54.622000,52084471.25830929,7391627.404793333,44699317.88276492
2024-07-10 14:52:06.622000,52081328.61559337,7387859.449590876,44699903.199918374
2024-07-10 14:52:18.622000,52070851.64136234,7401526.877554017,44675775.349194124
2024-07-10 14:52:30.623000,52120910.514016196,7429703.915061346,44697670.97130711
2024-07-10 14:52:42.622000,52126124.07638376,7430285.02916066,44702299.27613721
2024-07-10 14:52:54.630000,52116895.10183834,7424743.253897256,44698650.003809266
2024-07-10 14:53:06.623000,52144225.276757665,7431150.401110305,44719471.68096778
2024-07-10 14:53:18.623000,52138804.79395151,7433169.632607586,44711966.470193624
2024-07-10 14:53:30.622000,52162931.80447881,7442709.495001588,44726659.10788705
2024-07-10 14:53:42.623000,52159382.57436952,7440531.794641444,44725167.616455905
2024-07-10 14:53:54.622000,52172151.382075205,7442915.948909601,44735641.89975314
2024-07-10 14:54:06.622000,52175320.02146978,7459439.2415112825,44722309.99430851
2024-07-10 14:54:18.623000,52201420.49636362,7481253.04009181,44726580.13242477
2024-07-10 14:54:30.622000,52223065.202253155,7502806.792562103,44726677.28435408
2024-07-10 14:54:42.623000,52230141.82196758,7490752.959508001,44745951.83430892
2024-07-10 14:54:54.622000,52216183.08484604,7493988.421890508,44728670.075589
2024-07-10 14:55:06.623000,52243000.33886982,7499482.042829974,44749966.13025494
2024-07-10 14:55:18.622000,52242735.25134074,7501125.025553093,44748169.74355209
2024-07-10 14:55:30.623000,52246532.96428838,7513083.365019765,44739838.82493956
2024-07-10 14:55:42.638000,52250312.6702105,7526475.961969376,44730232.141256616
2024-07-10 14:55:54.623000,52289303.024661995,7537910.659744486,44757810.55012031
2024-07-10 14:56:06.622000,52330474.60340552,7552412.385179098,44784638.28528604
2024-07-10 14:56:18.638000,52307972.12237501,7563466.34280433,44750963.95124001
2024-07-10 14:56:30.622000,52348797.68562153,7586183.5024693,44769075.79989397
2024-07-10 14:56:42.622000,52355289.6385921,7591943.249189368,44769903.151589446
2024-07-10 14:56:54.623000,52396671.286050156,7603608.634799816,44799487.04159514
2024-07-10 14:57:06.623000,52370883.45556867,7598730.016460834,44778731.56774366
2024-07-10 14:57:18.623000,52383878.90876411,7602134.706002198,44788065.171894446
2024-07-10 14:57:30.622000,52432638.45031618,7619357.810056728,44819753.28389451
2024-07-10 14:57:42.623000,52446340.91773265,7631108.826701938,44821715.76824921
2024-07-10 14:57:54.622000,52431115.19118209,7636591.158158329,44801060.11367127
2024-07-10 14:58:06.622000,52425004.757268965,7641317.087834353,44790200.30170738
2024-07-10 14:58:18.622000,52418639.66928018,7641678.364492296,44783465.66354939
2024-07-10 14:58:30.623000,52431800.06784279,7655560.626911526,44782743.11023351
2024-07-10 14:58:42.622000,52451441.38355171,7662952.319754663,44794891.382586464
2024-07-10 14:58:54.623000,52435264.511414014,7669189.401617474,44772581.545907706
2024-07-10 14:59:06.622000,52442131.53522108,7679431.333209231,44769200.43298102
2024-07-10 14:59:18.622000,52456020.021924846,7693478.395763958,44769164.5810495
2024-07-10 14:59:30.623000,52446169.014278725,7706372.68082818,44746329.65851035
2024-07-10 14:59:42.623000,52475718.95138688,7713640.478457485,44768549.05264783
2024-07-10 14:59:54.624000,52522657.37091073,7741664.948762799,44787503.679991394
2024-07-10 15:00:06.622000,52545351.00020822,7763411.146457732,44788418.07559029
2024-07-10 15:00:18.638000,52530070.442102276,7756526.2535929475,44780027.1785032
2024-07-10 15:00:30.623000,52554492.29408344,7769117.936530426,44791925.601803355
2024-07-10 15:00:42.623000,52559832.240481056,7796826.344559933,44769593.69060945
2024-07-10 15:00:54.622000,52561338.820513636,7809325.080959811,44758607.04310709
2024-07-10 15:01:06.638000,52530638.55693318,7790170.510289842,44747043.4242432
2024-07-10 15:01:18.622000,52559194.79347399,7796493.475467809,44769389.07985016
2024-07-10 15:01:30.623000,52544421.42029545,7793308.717296736,44757649.47761305
2024-07-10 15:01:42.623000,52538545.65260857,7778278.555718728,44766806.62709165
2024-07-10 15:01:54.623000,52540344.58496778,7774304.050953815,44772623.49340169
2024-07-10 15:02:06.623000,52558198.02676485,7776370.819285582,44788461.19373143
2024-07-10 15:02:18.623000,52523675.37454927,7773818.4375452455,44756519.88058549
2024-07-10 15:02:30.623000,52525081.14935618,7742544.876903942,44789072.34634021
2024-07-10 15:02:42.622000,52492343.20478816,7717105.013682329,44781731.5229959
2024-07-10 15:02:54.623000,52475251.661512375,7706185.248934698,44775585.94618558
2024-07-10 15:03:06.623000,52459382.417071,7685318.486982151,44780703.42057863
2024-07-10 15:03:18.623000,52447331.29000376,7667615.478514531,44786366.34249407
2024-07-10 15:03:30.622000,52442494.96005273,7644082.508969865,44805045.73872803
2024-07-10 15:03:42.638000,52425720.269233756,7639148.862823508,44793246.05931072
2024-07-10 15:03:54.623000,52417285.858973764,7628750.747202,44795118.07342884
2024-07-10 15:04:06.622000,52382838.939156234,7616936.986503486,44772686.92367649
2024-07-10 15:04:18.638000,52383412.56946736,7609382.578668192,44780839.09290571
2024-07-10 15:04:30.623000,52371810.0885093,7597964.027474942,44780529.67690226
2024-07-10 15:04:42.623000,52336992.63967502,7588308.559329542,44755320.81757487
2024-07-10 15:04:54.622000,52335201.53942572,7579908.039859047,44761999.18505859
2024-07-10 15:05:06.623000,52360586.19266752,7586395.713489388,44781035.43789844
2024-07-10 15:05:18.630000,52326476.77815794,7572733.9636138,44760425.05149397
2024-07-10 15:05:30.622000,52359558.7733408,7574130.367185578,44792244.405206524
2024-07-10 15:05:42.623000,52353268.38618046,7575029.129694362,44785126.96409981
2024-07-10 15:05:54.622000,52350308.98138528,7561469.128405673,44795633.78931903
2024-07-10 15:06:06.622000,52341216.621507026,7555673.912893596,44792360.780744754
2024-07-10 15:06:18.622000,52316775.147449635,7537513.000629822,44786137.44177941
2024-07-10 15:06:30.646000,52341784.736729614,7537991.326590412,44810708.69616178
2024-07-10 15:06:42.622000,52321013.726104625,7530073.361939008,44797678.45194278
2024-07-10 15:06:54.623000,52323349.83785625,7530305.385957975,44799970.76689668
2024-07-10 15:07:06.623000,52308868.207401834,7508126.486862522,44807667.3413028
2024-07-10 15:07:18.646000,52278559.56740553,7496449.111166039,44789049.176733635
2024-07-10 15:07:30.622000,52258675.55517865,7478710.696929802,44787019.40794044
2024-07-10 15:07:42.623000,52236614.31139173,7465130.9180639135,44778336.623205416
2024-07-10 15:07:54.622000,52261171.578666866,7470843.599105218,44797254.29456005
2024-07-10 15:08:06.623000,52246789.273251064,7478592.109894329,44775193.798449606
2024-07-10 15:08:18.622000,52263638.193837345,7496866.407613837,44773672.58406577
2024-07-10 15:08:30.623000,52271051.25991787,7492733.099284893,44785321.68790661
2024-07-10 15:08:42.630000,52242600.28454013,7475047.926087132,44774598.639488615
2024-07-10 15:08:54.622000,52220279.78295791,7437309.450431257,44790052.46792286
2024-07-10 15:09:06.622000,52205257.682132855,7438338.512325127,44773954.417058334
2024-07-10 15:09:18.622000,52227895.4820032,7450163.9363476755,44784810.92077036
2024-07-10 15:09:30.630000,52251316.52429313,7447884.391310044,44810408.09150516
2024-07-10 15:09:42.622000,52206720.78697721,7415463.41535724,44798313.30509536
2024-07-10 15:09:54.623000,52183389.46112152,7380471.252793605,44809819.01330692
2024-07-10 15:10:06.623000,52158361.95452118,7376089.475297182,44789118.122684486
2024-07-10 15:10:18.622000,52150805.47830737,7348969.5855279695,44808638.10029085
2024-07-10 15:10:30.622000,52120946.44929832,7338973.345821753,44788743.600518614
2024-07-10 15:10:42.638000,52116517.358361654,7320248.991578592,44803001.63298598
2024-07-10 15:10:54.623000,52122406.683346994,7310882.225796687,44818275.64738546
2024-07-10 15:11:06.623000,52119952.04124619,7307950.218317129,44818806.78124094
2024-07-10 15:11:18.638000,52099639.24056088,7303600.872165677,44802790.93016642
2024-07-10 15:11:30.622000,52128462.89775795,7308318.814460178,44827100.73213731
2024-07-10 15:11:42.622000,52111015.39114934,7299354.700372963,44818326.38530514
2024-07-10 15:11:54.623000,52106178.143237285,7300996.992922354,44811966.810798176
2024-07-10 15:12:06.623000,52119545.3017676,7299309.679143003,44826938.54334543
2024-07-10 15:12:18.630000,52122369.32596762,7289738.608844036,44839591.49552283
2024-07-10 15:12:30.622000,52110408.666781805,7287336.042219742,44829873.453154504
2024-07-10 15:12:42.622000,52059703.05668426,7271020.672409175,44795579.73719872
2024-07-10 15:12:54.623000,52066736.9455968,7268419.778945415,44805209.00627477
2024-07-10 15:13:06.623000,52076138.36620215,7264255.949344048,44818793.55658944
2024-07-10 15:13:18.638000,52086364.42610789,7272977.609120718,44820092.49785578
2024-07-10 15:13:30.624000,52060596.59620735,7265316.084435348,44802220.61118517
