Wavelength,Transmission,Matched_Intensity,Expected_Counts
3.899917902000000254e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.900005249999999819e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.900092296999999917e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.900179643999999826e+02,1.853999999999999814e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.900266591000000176e+02,4.160000000000000046e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.900353938000000085e+02,2.210000000000000075e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.900440985000000182e+02,2.080000000000000023e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.900528332000000091e+02,1.440000000000000003e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.900615379000000189e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.900702627000000007e+02,2.210000000000000075e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.900789674000000105e+02,2.271999999999999689e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.900877021000000013e+02,2.209999999999999994e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.900964068000000111e+02,8.840000000000000299e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.901051315000000272e+02,1.988999999999999865e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.901138361999999802e+02,8.320000000000000091e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.901225709000000279e+02,1.784999999999999846e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.901312755999999808e+02,2.340000000000000127e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.901399802999999906e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.901487050999999724e+02,7.019999999999999572e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.901574097999999822e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.901661444999999730e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.901748491999999828e+02,8.450000000000000547e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.901835439000000179e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.901922786000000087e+02,3.552999999999999906e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.902009833000000185e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.902097180999999750e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.902184227999999848e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.902271175000000198e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.902358522000000107e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.902445569000000205e+02,1.768000000000000060e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.902532615999999734e+02,2.105999999999999952e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.902619862999999896e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.902706909999999993e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.902793957000000091e+02,2.227000000000000103e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.902881305000000225e+02,2.807999999999999829e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.902968252000000007e+02,1.325999999999999964e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.903055299000000105e+02,1.559999999999999977e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.903142646000000013e+02,6.499999999999999526e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.903229693000000111e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.903316639999999893e+02,1.546999999999999931e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.903403686999999991e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.903491033999999900e+02,1.750999999999999950e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.903578082000000222e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.903665128999999752e+02,3.257999999999999890e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.903752375999999913e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.903839423000000011e+02,3.587999999999999656e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.903926470000000108e+02,2.265999999999999917e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.904013517000000206e+02,3.191999999999999808e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.904100763999999799e+02,6.629999999999999820e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.904187810999999897e+02,1.088000000000000049e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.904274859000000220e+02,1.853999999999999814e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.904361905999999749e+02,9.360000000000000506e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.904448853000000099e+02,4.589999999999999789e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.904536200000000008e+02,1.039999999999999931e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.904623247000000106e+02,6.930000000000000561e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.904710294000000204e+02,9.690000000000000918e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.904797240999999985e+02,1.173000000000000111e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.904884288000000083e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.904971636000000217e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.905058682999999746e+02,2.451000000000000118e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.905145729999999844e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.905232677000000194e+02,3.707999999999999629e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.905319723999999724e+02,3.191999999999999808e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.905406770999999821e+02,1.248000000000000014e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.905493817999999919e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.905581065000000081e+02,2.209999999999999994e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.905668112999999835e+02,4.680000000000000253e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.905755159999999933e+02,2.580000000000000073e-11,0.000000000000000000e+00,0.000000000000000000e+00
