Time,AR_total,AR_count_Er,AR_area
2024-06-02T07:29:43.643,709838179.3283591,19658.461370493107,82570
2024-06-02T07:30:44.411,709928318.1887052,19659.989855671716,82570
2024-06-02T07:31:10.747,711751711.6268263,19678.15004628739,82570
2024-06-02T07:32:11.675,710558347.1993368,19663.378435222898,82570
2024-06-02T07:32:38.115,711631406.7721741,19677.22397634249,82570
2024-06-02T07:33:38.940,711664233.097575,19682.048480230966,82570
2024-06-02T07:34:05.275,712410882.6166886,19697.413904457666,82570
2024-06-02T07:35:06.203,710632284.6477945,19676.044459626937,82570
2024-06-02T07:35:32.540,712177800.2003722,19693.527703749016,82570
2024-06-02T07:36:33.468,708513372.9512134,19656.666538641635,82570
2024-06-02T07:36:59.804,710697011.9126827,19677.35036300317,82570
2024-06-02T07:38:00.764,709613349.1493733,19661.393111750345,82570
2024-06-02T07:38:27.100,712491770.9697309,19689.898119366695,82570
2024-06-02T07:39:28.275,711644145.9213982,19683.12712192287,82570
2024-06-02T07:39:54.364,713466403.9156945,19704.660670430854,82570
2024-06-02T07:40:55.293,711123031.353891,19682.095959887974,82570
2024-06-02T07:41:21.629,710909318.9619756,19675.36823928847,82570
2024-06-02T07:42:22.589,706182406.7275422,19609.951173498277,82570
2024-06-02T07:42:48.925,707340460.6730645,19621.780010952494,82570
2024-06-02T07:43:49.916,705760609.9981241,19612.583260058753,82570
2024-06-02T07:44:16.252,707564733.6340866,19633.10614203151,82570
2024-06-02T07:45:17.213,705789465.2720609,19618.806786312165,82570
2024-06-02T07:45:43.549,706453713.5180598,19619.06116111865,82570
2024-06-02T07:46:44.510,704291280.2084885,19598.04866135058,82570
2024-06-02T07:47:10.846,707768228.3640707,19633.245943579248,82570
2024-06-02T07:48:11.805,706751372.8626286,19617.301933165865,82570
2024-06-02T07:48:38.141,707799784.6081682,19625.320435008114,82570
2024-06-02T07:49:39.101,706580925.3505838,19613.86932760763,82570
2024-06-02T07:50:05.438,708154137.39449,19631.96821317854,82570
2024-06-02T07:51:06.398,703993430.4202888,19594.3091893226,82570
2024-06-02T07:51:32.734,706574882.6327181,19616.894434753965,82570
2024-06-02T07:52:33.694,705460776.2542088,19602.63533503278,82570
2024-06-02T07:53:00.293,706831765.643761,19617.687872061204,82570
2024-06-02T07:54:00.990,707008946.7381693,19616.943070741356,82570
2024-06-02T07:54:27.326,708843886.6248136,19641.883450463327,82570
2024-06-02T07:55:28.287,708908436.5447829,19645.574595689934,82570
2024-06-02T07:55:54.623,709645068.7522047,19654.1811673691,82570
2024-06-02T07:56:55.587,705128925.5869081,19602.606180655093,82570
2024-06-02T07:57:21.919,707993051.4703702,19628.435339391042,82570
2024-06-02T07:58:22.910,710088564.351788,19650.002910031253,82570
2024-06-02T07:58:49.246,711765766.565101,19666.48710445314,82570
2024-06-02T07:59:50.207,708927640.6205778,19637.08215825614,82570
2024-06-02T08:00:16.543,710358402.299477,19650.683107276283,82570
2024-06-02T08:01:17.663,710824736.6135352,19660.128650543254,82570
2024-06-02T08:01:44.628,714594322.8544828,19703.10051490512,82570
2024-06-02T08:02:45.214,716102695.2777629,19727.89754355013,82570
2024-06-02T08:03:11.612,719117323.2728662,19759.896631751795,82570
2024-06-02T08:04:12.767,719358213.3024411,19763.02088416242,82570
2024-06-02T08:04:39.167,719100134.3952235,19760.17124211223,82570
2024-06-02T08:05:40.319,714894508.3912532,19716.52873591689,82570
2024-06-02T08:06:06.717,716874975.1192274,19736.242919477976,82570
2024-06-02T08:07:07.872,716641885.1039631,19736.250659439982,82570
2024-06-02T08:07:34.269,718940826.7694721,19761.35553537768,82570
2024-06-02T08:08:35.424,715747318.9663203,19734.8452409687,82570
2024-06-02T08:09:01.822,717662037.4920824,19750.54173365929,82570
2024-06-02T08:10:03.790,715646543.630312,19730.234199057937,82570
2024-06-02T08:10:29.406,718513866.3104784,19757.25242050747,82570
2024-06-02T08:11:30.562,715541065.5975868,19729.1771283741,82570
2024-06-02T08:11:56.958,716264611.0356208,19739.476423701817,82570
2024-06-02T08:12:58.111,716307337.7655652,19734.416103412932,82570
2024-06-02T08:13:24.510,717804116.35549,19747.35740313068,82570
2024-06-02T08:14:25.664,715369187.2821873,19722.734946514116,82570
2024-06-02T08:14:52.627,717247910.3900185,19736.44814218193,82570
2024-06-02T08:15:53.217,716503086.1168661,19732.35812089745,82570
2024-06-02T08:16:19.615,721080432.8275279,19779.277276082983,82570
2024-06-02T08:17:20.768,718565778.274066,19732.271807206653,82570
2024-06-02T08:17:47.166,720258332.1710389,19747.67937592705,82570
2024-06-02T08:18:48.321,719077683.0418222,19730.972945707344,82570
2024-06-02T08:19:14.719,720630841.5328662,19742.64703720804,82570
2024-06-02T08:20:15.873,716368179.7209392,19710.831008891015,82570
2024-06-02T08:20:42.271,718687314.1012604,19732.990300244077,82570
2024-06-02T08:21:43.426,717571372.9427294,19725.451859513876,82570
2024-06-02T08:22:09.823,720518585.7449496,19752.734937275414,82570
2024-06-02T08:23:10.976,723059926.0975296,19782.110046487953,82570
2024-06-02T08:23:37.344,726714196.9737792,19817.9392937047,82570
2024-06-02T08:24:38.496,731521914.6566092,19877.52189408486,82570
2024-06-02T08:25:04.864,737086810.329741,19929.42540970901,82570
2024-06-02T08:26:06.162,744692951.3045816,20016.583254358116,82570
2024-06-02T08:26:32.416,740630929.7336173,19963.18493038234,82570
2024-06-02T08:27:33.571,732994157.4118376,19891.7923508423,82570
2024-06-02T08:27:59.969,734157464.1609535,19905.34554078496,82570
2024-06-02T08:29:01.121,731225567.3780794,19885.32799449364,82570
2024-06-02T08:29:27.489,733442197.5449591,19910.981361147948,82570
2024-06-02T08:30:28.640,734761155.0684545,19938.71352520638,82570
2024-06-02T08:30:55.720,737093264.7536529,19961.28702473845,82570
2024-06-02T08:31:56.448,731456180.4250956,19901.944114873855,82570
2024-06-02T08:32:22.880,732197757.226392,19902.813782290377,82570
2024-06-02T08:33:24.256,725366559.4779778,19824.764705556867,82570
2024-06-02T08:33:50.688,727199706.4893063,19848.062101501455,82570
2024-06-02T08:34:52.645,722036460.6696185,19799.998902407173,82570
2024-06-02T08:35:18.529,722941086.3484657,19805.08725192481,82570
2024-06-02T08:36:19.904,721253883.3621383,19788.302567883697,82570
2024-06-02T08:36:46.337,721779245.8821037,19796.36634194642,82570
2024-06-02T08:37:47.713,722466263.7191216,19807.18002460518,82570
2024-06-02T08:38:14.145,722776285.8771608,19811.435410517475,82570
2024-06-02T08:39:15.521,721656191.6326122,19790.766572359455,82570
2024-06-02T08:39:41.953,722169062.410494,19792.571681614234,82570
2024-06-02T08:40:43.329,719289880.453562,19768.663019643405,82570
2024-06-02T08:41:09.760,719705461.5122153,19771.998560092994,82570
2024-06-02T08:42:11.138,720999641.0732992,19790.414392025963,82570
2024-06-02T08:42:37.574,724800220.8423796,19830.961211654063,82570
2024-06-02T08:43:38.946,722838140.112586,19819.16093225368,82570
2024-06-02T08:44:05.378,722564915.6335235,19815.379632612585,82570
2024-06-02T08:45:06.754,726118761.8302366,19853.394175947968,82570
