time,reg1,reg2,reg3,reg4,reg5,reg6
2024-07-10 05:01:23.900000,2087397.3000000045,1127695.5000000002,4279301.700000003,3728991.1000000103,1258878.4999999993,1407809.1000000034
2024-07-10 05:02:53.900000,2103668.2000000044,1133469.200000001,4289483.700000003,3770285.30000001,1252049.0999999992,1424572.300000003
2024-07-10 05:04:23.900000,2119790.1000000043,1132026.1000000006,4299028.200000003,3808440.60000001,1241406.2999999989,1438541.600000003
2024-07-10 05:05:53.900000,2129699.5000000047,1135210.2000000011,4292163.100000002,3854527.60000001,1238505.1999999993,1441796.1000000027
2024-07-10 05:07:23.900000,2147065.2000000044,1137567.600000001,4303860.500000003,3894647.30000001,1238318.2999999989,1456853.0000000023
2024-07-10 05:08:53.900000,2158809.8000000035,1138198.100000001,4311373.700000003,3929432.70000001,1229454.3999999994,1463586.4000000018
2024-07-10 05:10:23.900000,2175126.6000000043,1146415.3000000007,4320214.400000002,3964959.3000000096,1233476.0999999992,1465252.0000000014
2024-07-10 05:11:53.900000,2191340.700000004,1147143.9000000001,4334812.600000003,4008100.0000000093,1229271.899999999,1475047.800000001
2024-07-10 05:13:23.900000,2202711.600000004,1143039.6000000003,4339361.300000003,4046276.900000009,1221823.8999999992,1480314.4000000004
2024-07-10 05:14:53.900000,2217870.1000000034,1146231.5999999996,4341855.400000002,4077560.0000000093,1221812.3999999992,1482737.1999999997
2024-07-10 05:16:23.900000,2235830.7000000034,1137339.2,4352942.800000003,4117356.900000009,1213181.8999999994,1480430.6999999997
2024-07-10 05:17:53.900000,2249432.5000000037,1135897.9,4359212.300000003,4151411.0000000084,1206335.599999999,1479344.7999999993
2024-07-10 05:19:23.900000,2261891.400000003,1136948.2,4361661.400000002,4183636.900000008,1200820.499999999,1474525.399999999
2024-07-10 05:21:38.900000,2276067.8000000026,1136789.5,4369979.700000002,4234613.800000008,1193895.8999999985,1466114.7999999989
2024-07-10 05:23:08.900000,2288218.5000000023,1133699.1000000003,4380452.500000002,4263495.200000008,1187595.5999999987,1455876.6999999988
2024-07-10 05:24:38.900000,2296477.5000000023,1138240.0000000002,4391422.100000002,4289464.100000007,1185091.9999999988,1455598.2999999986
2024-07-10 05:26:08.900000,2302437.3000000026,1138861.4000000001,4396442.6000000015,4316944.100000007,1179198.8999999987,1440594.9999999986
2024-07-10 05:27:38.900000,2309401.3000000017,1132707.4000000004,4391354.400000001,4344770.900000007,1175187.1999999986,1432197.3999999985
2024-07-10 05:29:08.900000,2318637.6000000015,1131544.2000000007,4399173.400000001,4366629.200000007,1171509.199999998,1425616.4999999984
2024-07-10 05:30:38.900000,2325019.7,1130610.9000000001,4405244.9,4391186.1,1163519.2000000002,1412759.5
2024-07-10 05:32:08.900000,2330081.3000000003,1139332.1,4398865.0,4408753.9,1158414.4000000001,1405220.6
2024-07-10 05:33:38.900000,2334995.3,1137436.4000000001,4394534.4,4438599.699999999,1147445.1,1396401.9000000001
2024-07-10 05:35:08.900000,2339841.3000000003,1136502.3,4401000.4,4459193.6,1140603.9000000001,1385875.4
2024-07-10 05:36:38.900000,2344347.0,1140980.7,4405025.100000001,4478269.0,1129859.3,1383251.0
2024-07-10 05:38:08.900000,2351878.5,1151476.1,4406209.9,4497281.5,1126273.8,1374870.4
2024-07-10 05:39:38.900000,2354875.3000000007,1158624.2000000002,4409221.9,4516913.300000001,1117157.4000000001,1373395.3000000003
2024-07-10 05:41:08.900000,2354181.9,1161476.1,4407684.4,4539752.300000001,1112275.1,1374238.6
2024-07-10 05:47:53.900000,2375918.7,1185741.9,4435030.6,4600762.6,1080081.7000000002,1386612.4
2024-07-10 05:49:23.900000,2382052.7,1187614.6,4450943.7,4612213.9,1071409.0,1387776.5
2024-07-10 05:51:38.900000,2386177.5,1194080.0,4459631.100000001,4616619.4,1062567.2000000002,1397022.7000000002
2024-07-10 05:53:08.900000,2393326.2,1194370.2000000002,4491200.5,4633778.0,1048797.4,1394340.1
2024-07-10 05:54:38.900000,2396625.6,1195181.1,4495466.2,4643288.1,1041999.5,1400940.1
2024-07-10 05:54:38.900000,2396625.6,1195181.1,4495466.2,4643288.1,1041999.5,1400940.1
2024-07-10 05:54:38.900000,2396625.6,1195181.1,4495466.2,4643288.1,1041999.5,1400940.1
2024-07-10 05:55:23.900000,2402460.7,1197132.0,4503261.7,4645181.0,1036478.3,1401441.5
2024-07-10 05:55:23.900000,2402460.7,1197132.0,4503261.7,4645181.0,1036478.3,1401441.5
2024-07-10 05:56:08.900000,2401780.8000000003,1196259.7,4483826.0,4649009.600000001,1035796.5,1402967.4
2024-07-10 05:56:08.900000,2401780.8000000003,1196259.7,4483826.0,4649009.600000001,1035796.5,1402967.4
2024-07-10 05:56:53.900000,2399355.9000000004,1199007.4000000001,4484891.100000001,4647859.2,1033031.9000000001,1405533.1
2024-07-10 05:56:53.900000,2399355.9000000004,1199007.4000000001,4484891.100000001,4647859.2,1033031.9000000001,1405533.1
2024-07-10 05:57:38.900000,2402573.2,1199483.5,4491829.200000001,4653481.4,1030740.8,1406128.8
2024-07-10 05:57:38.900000,2402573.2,1199483.5,4491829.200000001,4653481.4,1030740.8,1406128.8
2024-07-10 05:58:23.900000,2402355.0,1199128.5,4494698.6,4655917.9,1026919.4,1409302.0
